Global Medical REIT Price to Free Cash Flow Ratio Historical Data,Global Medical REIT Price to Free Cash Flow Ratio Historical Data,Global Medical REIT Price to Free Cash Flow Ratio Historical Data,Global Medical REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.69,,17.74
2024-12-31,7.72,$0.49,15.76
2024-09-30,9.91,$0.65,15.2
2024-06-30,8.89,$1.12,7.92
2024-03-31,8.37,$1.99,4.2
2023-12-31,10.36,$2.09,4.95
2023-09-30,8.22,$2.11,3.9
2023-06-30,8.18,$1.51,5.42
2023-03-31,7.97,$-0.52,0.0
2022-12-31,8.09,$-0.94,0.0
2022-09-30,7.11,$-1.49,0.0
2022-06-30,9.17,$-1.67,0.0
2022-03-31,13.08,$-1.69,0.0
2021-12-31,14.04,$-2.10,0.0
2021-09-30,11.49,$-3.25,0.0
2021-06-30,11.38,$-4.20,0.0
2021-03-31,9.97,$-3.25,0.0
2020-12-31,9.78,$-3.98,0.0
2020-09-30,9.96,$-4.67,0.0
2020-06-30,8.23,$-4.80,0.0
2020-03-31,7.22,$-7.24,0.0
2019-12-31,9.25,$-6.51,0.0
2019-09-30,7.85,$-4.79,0.0
2019-06-30,7.1,$-3.54,0.0
2019-03-31,6.52,$-3.72,0.0
2018-12-31,5.78,$-5.77,0.0
2018-09-30,5.99,$-8.05,0.0
2018-06-30,5.52,$-9.21,0.0
2018-03-31,4.24,$-8.87,0.0
2017-12-31,4.86,$-12.22,0.0
2017-09-30,5.19,$-21.88,0.0
2017-06-30,5.05,$2.21,2.29
2017-03-31,5.04,$-22.37,0.0
