Golden Ocean Group Price to Free Cash Flow Ratio Historical Data,Golden Ocean Group Price to Free Cash Flow Ratio Historical Data,Golden Ocean Group Price to Free Cash Flow Ratio Historical Data,Golden Ocean Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.97,,4.48
2024-09-30,12.97,$1.78,7.29
2024-06-30,13.03,$1.10,11.86
2024-03-31,11.97,$0.16,75.22
2023-12-31,8.82,$-0.58,0.0
2023-09-30,7.04,$-0.52,0.0
2023-06-30,6.65,$0.37,18.17
2023-03-31,8.28,$2.01,4.12
2022-12-31,7.41,$2.83,2.62
2022-09-30,6.13,$3.35,1.83
2022-06-30,8.93,$3.67,2.43
2022-03-31,9.19,$2.03,4.52
2021-12-31,6.43,$0.88,7.32
2021-09-30,6.79,$0.26,26.58
2021-06-30,6.66,$-0.34,0.0
2021-03-31,3.95,$0.40,9.76
2020-12-31,2.73,$0.81,3.39
2020-09-30,2.25,$0.74,3.05
2020-06-30,2.29,$0.57,4.0
2020-03-31,1.84,$0.48,3.81
2019-12-31,3.38,$0.80,4.24
2019-09-30,3.3,$0.77,4.27
2019-06-30,3.24,$1.07,3.04
2019-03-31,2.64,$1.32,2.01
2018-12-31,3.38,$0.30,11.44
2018-09-30,5.3,$1.32,4.01
2018-06-30,4.62,$0.85,5.43
2018-03-31,4.17,$0.72,5.84
2017-12-31,4.23,$0.55,7.73
2017-09-30,4.07,$-0.89,0.0
2017-06-30,3.49,$-1.15,0.0
2017-03-31,3.97,$-0.89,0.0
2016-12-31,2.45,$-2.02,0.0
2016-09-30,2.1,$-13.04,0.0
2016-06-30,1.72,$2.84,0.61
2016-03-31,1.8,$6.17,0.29
2015-12-31,2.78,$-5.03,0.0
2015-09-30,6.39,$-5.42,0.0
2015-06-30,10.0,$-30.85,0.0
2015-03-31,12.99,$-49.64,0.0
2014-12-31,11.76,$-33.90,0.0
2014-09-30,22.75,$-23.47,0.0
2014-06-30,35.9,$-13.01,0.0
2014-03-31,33.77,$4.43,7.63
2013-12-31,22.52,$0.52,43.32
2013-09-30,24.33,$10.05,2.42
2013-06-30,17.22,$16.93,1.02
2013-03-31,18.77,$17.04,1.1
2012-12-31,11.71,$21.13,0.55
2012-09-30,14.19,$14.71,0.96
2012-06-30,17.09,$8.83,1.93
2012-03-31,29.29,$8.65,3.39
2011-12-31,26.95,$8.67,3.11
2011-09-30,31.69,$-0.48,0.0
2011-06-30,41.11,$-10.10,0.0
2011-03-31,45.69,$-7.44,0.0
2010-12-31,39.84,$-7.31,0.0
2010-09-30,33.08,$-2.02,0.0
2010-06-30,29.99,$-7.01,0.0
2010-03-31,28.2,$-23.99,0.0
2009-12-31,21.66,$-24.16,0.0
