Hilton Worldwide Holdings Price to Free Cash Flow Ratio Historical Data,Hilton Worldwide Holdings Price to Free Cash Flow Ratio Historical Data,Hilton Worldwide Holdings Price to Free Cash Flow Ratio Historical Data,Hilton Worldwide Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,231.91,,31.8
2024-12-31,247.16,$7.29,33.89
2024-09-30,230.36,$6.78,33.98
2024-06-30,217.92,$6.70,32.55
2024-03-31,212.88,$6.72,31.69
2023-12-31,181.59,$6.45,28.13
2023-09-30,149.63,$6.54,22.87
2023-06-30,144.87,$6.49,22.31
2023-03-31,140.07,$6.05,23.15
2022-12-31,125.51,$5.70,22.02
2022-09-30,119.67,$4.50,26.59
2022-06-30,110.44,$3.04,36.31
2022-03-31,150.22,$1.42,105.45
2021-12-31,154.43,$0.13,1205.51
2021-09-30,130.79,$-0.79,0.0
2021-06-30,119.41,$-2.12,0.0
2021-03-31,119.71,$1.21,98.77
2020-12-31,110.14,$2.22,49.53
2020-09-30,84.46,$3.24,26.06
2020-06-30,72.71,$5.75,12.65
2020-03-31,67.56,$3.74,18.04
2019-12-31,109.63,$4.48,24.47
2019-09-30,91.89,$4.94,18.6
2019-06-30,96.31,$3.97,24.24
2019-03-31,81.77,$4.00,20.43
2018-12-31,70.51,$3.59,19.62
2018-09-30,79.16,$3.28,24.15
2018-06-30,77.42,$2.82,27.41
2018-03-31,76.89,$2.78,27.7
2017-12-31,77.82,$2.19,35.54
2017-09-30,67.54,$2.28,29.65
2017-06-30,60.0,$2.25,26.7
2017-03-31,56.58,$2.13,26.57
2016-12-31,78.76,$2.77,28.41
2016-09-30,66.2,$3.11,21.32
2016-06-30,64.86,$4.28,15.15
2016-03-31,64.62,$4.42,14.61
2015-12-31,61.2,$9.94,6.16
2015-09-30,65.41,$9.83,6.65
2015-06-30,78.34,$8.93,8.77
2015-03-31,84.23,$9.06,9.29
2014-12-31,74.19,$3.08,24.07
2014-09-30,70.04,$7.91,8.86
