Honda Price to Free Cash Flow Ratio Historical Data,Honda Price to Free Cash Flow Ratio Historical Data,Honda Price to Free Cash Flow Ratio Historical Data,Honda Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.15,,99.31
2024-06-30,31.59,$0.30,104.06
2024-03-31,36.48,$1.74,20.92
2023-12-31,30.09,$2.49,12.07
2023-09-30,32.74,$3.65,8.98
2023-06-30,29.01,$5.48,5.29
2023-03-31,25.35,$7.29,3.48
2022-12-31,21.53,$9.14,2.35
2022-09-30,20.33,$11.24,1.81
2022-06-30,22.31,$10.17,2.19
2022-03-31,26.11,$7.44,3.51
2021-12-31,25.84,$4.71,5.49
2021-09-30,27.86,$3.02,9.23
2021-06-30,28.78,$4.60,6.25
2021-03-31,27.01,$4.14,6.52
2020-12-31,24.86,$4.73,5.25
2020-09-30,20.68,$3.88,5.34
2020-06-30,22.14,$1.92,11.52
2020-03-31,19.37,$3.29,5.89
2019-12-31,24.15,$2.83,8.54
2019-09-30,22.05,$2.37,9.31
2019-06-30,21.64,$2.07,10.45
2019-03-31,22.56,$1.92,11.76
2018-12-31,21.76,$2.36,9.21
2018-09-30,24.51,$2.57,9.53
2018-06-30,23.66,$3.24,7.3
2018-03-31,27.84,$2.95,9.45
2017-12-31,27.12,$3.24,8.37
2017-09-30,23.37,$2.45,9.54
2017-06-30,21.5,$1.99,10.81
2017-03-31,23.56,$2.11,11.15
2016-12-31,22.57,$1.81,12.45
2016-09-30,22.2,$2.75,8.08
2016-06-30,19.32,$2.73,7.07
2016-03-31,20.67,$3.60,5.74
2015-12-31,23.95,$4.85,4.94
2015-09-30,22.29,$4.17,5.34
2015-06-30,23.88,$3.20,7.45
2015-03-31,24.15,$2.05,11.8
2014-12-31,21.76,$-0.59,0.0
2014-09-30,25.27,$-0.77,0.0
2014-06-30,25.79,$-0.18,0.0
2014-03-31,26.05,$-0.15,0.0
2013-12-31,30.48,$0.11,273.34
2013-09-30,27.98,$0.44,63.63
2013-06-30,27.2,$-2.35,0.0
2013-03-31,27.79,$-1.05,0.0
2012-12-31,26.71,$0.92,29.03
2012-09-30,22.23,$-1.10,0.0
2012-06-30,24.77,$3.54,7.0
2012-03-31,27.28,$2.66,10.27
2011-12-31,21.59,$-0.81,0.0
2011-09-30,20.49,$2.87,7.14
2011-06-30,26.98,$1.22,22.08
2011-03-31,26.09,$2.60,10.04
2010-12-31,27.34,$3.48,7.87
2010-09-30,24.53,$4.16,5.9
2010-06-30,19.75,$6.10,3.24
2010-03-31,24.13,$5.22,4.62
2009-12-31,23.1,$1.22,19.0
