Humana Price to Free Cash Flow Ratio Historical Data,Humana Price to Free Cash Flow Ratio Historical Data,Humana Price to Free Cash Flow Ratio Historical Data,Humana Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,266.83,,13.45
2024-12-31,253.71,$19.84,12.79
2024-09-30,316.74,$-32.78,0.0
2024-06-30,372.61,$-38.19,0.0
2024-03-31,344.94,$-23.84,0.0
2023-12-31,454.31,$25.61,17.74
2023-09-30,481.86,$41.61,11.58
2023-06-30,442.06,$96.82,4.57
2023-03-31,479.0,$78.70,6.09
2022-12-31,504.46,$27.28,18.49
2022-09-30,477.13,$65.89,7.24
2022-06-30,459.56,$21.19,21.69
2022-03-31,426.54,$16.07,26.55
2021-12-31,453.85,$7.31,62.08
2021-09-30,380.18,$10.88,34.93
2021-06-30,431.75,$3.20,134.95
2021-03-31,408.22,$24.32,16.78
2020-12-31,398.82,$35.15,11.35
2020-09-30,401.72,$37.12,10.82
2020-06-30,375.76,$42.23,8.9
2020-03-31,303.81,$30.31,10.02
2019-12-31,353.89,$33.76,10.48
2019-09-30,246.49,$28.18,8.75
2019-06-30,255.23,$2.55,100.22
2019-03-31,255.38,$-8.74,0.0
2018-12-31,274.46,$11.28,24.33
2018-09-30,323.75,$-6.16,0.0
2018-06-30,284.22,$21.41,13.27
2018-03-31,256.28,$22.39,11.45
2017-12-31,236.05,$24.23,9.74
2017-09-30,231.45,$26.06,8.88
2017-06-30,228.22,$36.21,6.3
2017-03-31,195.19,$34.26,5.7
2016-12-31,192.54,$9.34,20.62
2016-09-30,166.66,$29.90,5.57
2016-06-30,169.47,$6.99,24.26
2016-03-31,172.09,$4.89,35.17
2015-12-31,167.65,$2.29,73.24
2015-09-30,167.84,$1.16,144.78
2015-06-30,179.06,$0.34,525.25
2015-03-31,166.4,$3.28,50.72
2014-12-31,134.04,$6.99,19.17
2014-09-30,121.36,$5.90,20.57
2014-06-30,118.71,$7.17,16.57
2014-03-31,104.54,$9.64,10.85
2013-12-31,95.5,$8.04,11.88
2013-09-30,86.12,$9.50,9.07
2013-06-30,77.64,$-5.66,0.0
2013-03-31,63.39,$-2.34,0.0
2012-12-31,62.7,$9.26,6.77
2012-09-30,63.85,$-2.88,0.0
2012-06-30,70.22,$22.92,3.06
2012-03-31,83.58,$19.72,4.24
2011-12-31,78.96,$10.39,7.6
2011-09-30,65.36,$21.27,3.07
2011-06-30,72.15,$10.97,6.58
2011-03-31,62.46,$11.97,5.22
2010-12-31,48.89,$11.90,4.11
2010-09-30,44.87,$13.86,3.24
2010-06-30,40.79,$12.39,3.29
2010-03-31,41.77,$11.49,3.63
2009-12-31,39.2,$7.32,5.35
