Insteel Industries Price to Free Cash Flow Ratio Historical Data,Insteel Industries Price to Free Cash Flow Ratio Historical Data,Insteel Industries Price to Free Cash Flow Ratio Historical Data,Insteel Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.51,,11.75
2024-12-31,27.01,$2.34,11.54
2024-09-30,30.04,$2.00,15.05
2024-06-30,29.89,$3.03,9.87
2024-03-31,36.86,$2.88,12.81
2023-12-31,36.89,$4.92,7.5
2023-09-30,29.13,$6.21,4.69
2023-06-30,27.9,$3.77,7.41
2023-03-31,24.92,$2.68,9.29
2022-12-31,24.62,$0.95,25.82
2022-09-30,22.15,$-0.17,0.0
2022-06-30,28.08,$0.53,52.56
2022-03-31,30.83,$2.57,11.98
2021-12-31,33.15,$2.77,11.99
2021-09-30,30.16,$2.69,11.23
2021-06-30,25.46,$3.07,8.28
2021-03-31,24.4,$2.45,9.97
2020-12-31,17.61,$1.72,10.21
2020-09-30,13.87,$2.65,5.24
2020-06-30,14.12,$3.85,3.67
2020-03-31,9.79,$3.55,2.76
2019-12-31,15.85,$2.79,5.67
2019-09-30,15.12,$-0.20,0.0
2019-06-30,15.31,$-1.92,0.0
2019-03-31,15.36,$-1.44,0.0
2018-12-31,17.8,$-0.11,0.0
2018-09-30,26.27,$1.84,14.26
2018-06-30,24.44,$1.68,14.53
2018-03-31,20.2,$0.44,45.71
2017-12-31,20.68,$0.54,37.96
2017-09-30,18.39,$0.01,1332.53
2017-06-30,23.19,$0.63,36.86
2017-03-31,25.4,$1.61,15.77
2016-12-31,25.03,$1.59,15.79
2016-09-30,24.61,$2.28,10.78
2016-06-30,19.4,$3.13,6.2
2016-03-31,20.72,$3.09,6.71
2015-12-31,14.16,$3.02,4.68
2015-09-30,10.36,$1.72,6.04
2015-06-30,12.06,$0.73,16.62
2015-03-31,13.92,$0.48,28.87
2014-12-31,15.16,$0.17,91.58
2014-09-30,13.2,$1.09,12.15
2014-06-30,12.6,$1.11,11.34
2014-03-31,12.59,$0.78,16.18
2013-12-31,14.53,$0.82,17.81
2013-09-30,10.27,$1.74,5.91
2013-06-30,11.16,$1.94,5.75
2013-03-31,10.38,$1.10,9.42
2012-12-31,7.92,$1.55,5.1
2012-09-30,7.28,$0.30,24.32
2012-06-30,6.9,$-0.24,0.0
2012-03-31,7.49,$0.25,30.42
2011-12-31,6.76,$-0.23,0.0
2011-09-30,6.18,$-0.45,0.0
2011-06-30,7.67,$-0.34,0.0
2011-03-31,8.63,$-0.67,0.0
2010-12-31,7.61,$0.91,8.35
2010-09-30,5.46,$0.65,8.41
2010-06-30,7.03,$1.50,4.69
2010-03-31,6.45,$3.22,2.01
2009-12-31,7.83,$0.56,14.1
