Inhibikase Therapeutics Price to Free Cash Flow Ratio Historical Data,Inhibikase Therapeutics Price to Free Cash Flow Ratio Historical Data,Inhibikase Therapeutics Price to Free Cash Flow Ratio Historical Data,Inhibikase Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.42,,0.0
2024-09-30,1.3,$-2.57,0.0
2024-06-30,1.21,$-2.87,0.0
2024-03-31,2.16,$-2.70,0.0
2023-12-31,1.27,$-3.39,0.0
2023-09-30,1.39,$-3.22,0.0
2023-06-30,3.61,$-3.91,0.0
2023-03-31,0.66,$-4.53,0.0
2022-12-31,0.5,$-4.17,0.0
2022-09-30,0.91,$-5.60,0.0
2022-06-30,0.74,$-2.67,0.0
2022-03-31,1.48,$-3.30,0.0
2021-12-31,1.47,$-4.71,0.0
2021-09-30,1.9,$-3.25,0.0
