Chipmos Technologies Price to Free Cash Flow Ratio Historical Data,Chipmos Technologies Price to Free Cash Flow Ratio Historical Data,Chipmos Technologies Price to Free Cash Flow Ratio Historical Data,Chipmos Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.68,,12.18
2024-09-30,23.4,$1.53,15.26
2024-06-30,26.11,$1.94,13.44
2024-03-31,30.16,$2.93,10.3
2023-12-31,26.1,$3.21,8.12
2023-09-30,22.11,$2.12,10.44
2023-06-30,22.72,$3.00,7.57
2023-03-31,22.67,$2.90,7.82
2022-12-31,19.35,$3.50,5.53
2022-09-30,16.73,$3.52,4.75
2022-06-30,22.55,$2.93,7.69
2022-03-31,28.93,$2.22,13.03
2021-12-31,28.6,$1.51,18.91
2021-09-30,27.87,$1.85,15.08
2021-06-30,26.62,$1.89,14.06
2021-03-31,24.75,$2.34,10.59
2020-12-31,19.07,$1.81,10.54
2020-09-30,15.09,$1.69,8.94
2020-06-30,16.79,$1.10,15.3
2020-03-31,12.95,$0.51,25.35
2019-12-31,16.75,$0.51,32.77
2019-09-30,15.03,$-0.01,0.0
2019-06-30,11.03,$-0.01,0.0
2019-03-31,12.1,$-0.01,0.0
2018-12-31,12.07,$-0.01,0.0
2018-09-30,12.76,$-0.21,0.0
2018-06-30,12.59,$-0.21,0.0
2018-03-31,13.19,$-0.21,0.0
2017-12-31,14.69,$-0.21,0.0
2017-09-30,16.08,$-0.72,0.0
2017-06-30,16.45,$-0.72,0.0
2017-03-31,14.64,$-0.72,0.0
2016-12-31,11.63,$-0.72,0.0
2016-09-30,15.1,$27.27,0.55
2016-06-30,13.81,$27.28,0.51
2016-03-31,13.25,$27.28,0.49
2015-12-31,15.1,$27.28,0.55
2015-09-30,12.52,$3.01,4.16
2015-06-30,16.65,$2.99,5.56
2015-03-31,18.8,$2.99,6.28
2014-12-31,17.78,$2.99,5.94
2014-09-30,17.25,$4.34,3.98
2014-06-30,18.4,$4.34,4.24
2014-03-31,16.82,$4.34,3.88
2013-12-31,14.67,$4.34,3.38
2013-09-30,13.6,$3.09,4.4
2013-06-30,14.63,$3.09,4.74
2013-03-31,10.07,$3.09,3.26
2012-12-31,8.77,$3.09,2.84
2012-09-30,11.83,0,0.0
2012-06-30,7.9,0,0.0
2012-03-31,13.13,0,0.0
2011-12-31,3.85,0,0.0
2011-09-30,3.86,$7.98,0.48
2011-06-30,6.7,$7.98,0.84
2011-03-31,6.57,$7.98,0.82
2010-12-31,4.57,$7.98,0.57
2010-09-30,4.15,$-0.74,0.0
2010-06-30,4.45,$-0.74,0.0
2010-03-31,2.18,$-0.74,0.0
2009-12-31,2.12,$-0.74,0.0
