IRobot Price to Free Cash Flow Ratio Historical Data,IRobot Price to Free Cash Flow Ratio Historical Data,IRobot Price to Free Cash Flow Ratio Historical Data,IRobot Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.16,,0.0
2024-12-31,7.75,$-1.13,0.0
2024-09-30,8.69,$-1.05,0.0
2024-06-30,9.11,$-2.75,0.0
2024-03-31,8.76,$-0.71,0.0
2023-12-31,38.7,$-4.25,0.0
2023-09-30,37.9,$0.15,247.07
2023-06-30,45.25,$1.09,41.46
2023-03-31,43.64,$-3.36,0.0
2022-12-31,48.13,$-3.76,0.0
2022-09-30,56.33,$-6.15,0.0
2022-06-30,36.75,$-8.53,0.0
2022-03-31,63.4,$-6.69,0.0
2021-12-31,65.88,$-2.20,0.0
2021-09-30,78.5,$0.32,248.1
2021-06-30,93.39,$5.96,15.66
2021-03-31,122.18,$6.42,19.02
2020-12-31,80.29,$7.00,11.46
2020-09-30,75.9,$7.86,9.66
2020-06-30,83.9,$3.39,24.74
2020-03-31,40.9,$2.85,14.33
2019-12-31,50.63,$3.30,15.36
2019-09-30,61.67,$-1.20,0.0
2019-06-30,91.64,$1.18,77.95
2019-03-31,117.69,$2.27,51.94
2018-12-31,83.74,$1.37,61.08
2018-09-30,109.92,$1.18,93.49
2018-06-30,75.77,$1.59,47.72
2018-03-31,64.19,$1.73,37.09
2017-12-31,76.7,$1.84,41.66
2017-09-30,77.06,$2.81,27.4
2017-06-30,84.14,$3.31,25.45
2017-03-31,66.14,$3.00,22.02
2016-12-31,58.45,$3.73,15.66
2016-09-30,43.98,$2.28,19.32
2016-06-30,35.08,$1.47,23.79
2016-03-31,35.3,$2.04,17.34
2015-12-31,35.4,$0.58,61.47
2015-09-30,29.14,$1.61,18.12
2015-06-30,31.88,$1.54,20.76
2015-03-31,32.63,$1.33,24.58
2014-12-31,34.72,$0.89,39.09
2014-09-30,30.45,$0.70,43.39
2014-06-30,40.95,$0.57,72.01
2014-03-31,41.05,$0.90,45.82
2013-12-31,34.77,$1.19,29.11
2013-09-30,37.65,$1.03,36.61
2013-06-30,39.77,$1.41,28.3
2013-03-31,25.66,$0.99,25.95
2012-12-31,18.74,$1.10,17.06
2012-09-30,22.76,$1.47,15.45
2012-06-30,22.15,$1.88,11.8
2012-03-31,27.26,$1.77,15.4
2011-12-31,29.85,$1.53,19.51
2011-09-30,25.16,$0.66,38.06
2011-06-30,35.29,$0.17,204.46
2011-03-31,32.89,$0.89,36.81
2010-12-31,24.88,$1.38,18.01
2010-09-30,18.57,$1.60,11.63
2010-06-30,18.79,$1.75,10.73
2010-03-31,15.16,$1.17,12.96
2009-12-31,17.6,$1.39,12.67
