Itau Unibanco Holding S.A Price to Free Cash Flow Ratio Historical Data,Itau Unibanco Holding S.A Price to Free Cash Flow Ratio Historical Data,Itau Unibanco Holding S.A Price to Free Cash Flow Ratio Historical Data,Itau Unibanco Holding S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.66,,0.0
2024-09-30,6.58,$-0.19,0.0
2024-06-30,5.73,$1.24,4.61
2024-03-31,6.74,$1.60,4.2
2023-12-31,6.49,$1.50,4.33
2023-09-30,4.97,$2.02,2.46
2023-06-30,5.39,$1.86,2.9
2023-03-31,4.4,$2.81,1.57
2022-12-31,4.2,$2.51,1.67
2022-09-30,4.51,$2.96,1.52
2022-06-30,3.68,$2.72,1.35
2022-03-31,4.9,$1.93,2.54
2021-12-31,3.21,$1.11,2.89
2021-09-30,3.67,$0.46,8.04
2021-06-30,4.16,$0.05,90.04
2021-03-31,3.41,$0.21,16.31
2020-12-31,4.15,$1.15,3.61
2020-09-30,2.7,$2.03,1.33
2020-06-30,3.17,$2.00,1.58
2020-03-31,3.03,$1.36,2.23
2019-12-31,5.97,$0.87,6.82
2019-09-30,5.47,$1.56,3.51
2019-06-30,5.97,$2.31,2.58
2019-03-31,5.58,$3.86,1.45
2018-12-31,5.51,$0.60,9.19
2018-09-30,4.41,$-1.13,0.0
2018-06-30,4.08,$-1.06,0.0
2018-03-31,6.13,$-2.76,0.0
2017-12-31,4.89,$0.25,19.4
2017-09-30,5.13,$-0.23,0.0
2017-06-30,4.09,$-0.72,0.0
2017-03-31,4.46,$-0.06,0.0
2016-12-31,3.73,$0.86,4.35
2016-09-30,3.55,$1.66,2.14
2016-06-30,3.02,$1.93,1.56
2016-03-31,2.75,$1.14,2.41
2015-12-31,2.02,$-1.10,0.0
2015-09-30,2.04,$1.51,1.35
2015-06-30,3.03,$0.57,5.31
2015-03-31,3.05,$0.66,4.6
2014-12-31,3.5,$3.68,0.95
2014-09-30,3.73,$0.99,3.77
2014-06-30,3.82,$1.36,2.81
2014-03-31,3.58,$3.09,1.16
2013-12-31,3.21,$1.41,2.28
2013-09-30,3.32,$1.73,1.92
2013-06-30,3.0,$2.24,1.34
2013-03-31,3.75,$0.29,12.77
2012-12-31,3.43,$2.44,1.41
2012-09-30,3.15,$1.53,2.06
2012-06-30,2.84,$-1.39,0.0
2012-03-31,3.91,$2.27,1.72
2011-12-31,3.74,$-0.55,0.0
2011-09-30,3.09,$-1.17,0.0
2011-06-30,4.64,$1.08,4.29
2011-03-31,4.74,$-2.22,0.0
2010-12-31,4.65,$-2.24,0.0
2010-09-30,4.68,$0.61,7.69
2010-06-30,3.46,$2.02,1.71
2010-03-31,4.22,$1.13,3.73
2009-12-31,4.32,$2.84,1.52
