Jerash Holdings (US) Price to Free Cash Flow Ratio Historical Data,Jerash Holdings (US) Price to Free Cash Flow Ratio Historical Data,Jerash Holdings (US) Price to Free Cash Flow Ratio Historical Data,Jerash Holdings (US) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.57,,0.0
2024-12-31,3.42,$-0.64,0.0
2024-09-30,2.97,$-0.45,0.0
2024-06-30,2.95,$-0.26,0.0
2024-03-31,2.91,$-0.19,0.0
2023-12-31,2.92,$0.24,12.24
2023-09-30,2.8,$0.27,10.4
2023-06-30,3.38,$0.47,7.2
2023-03-31,4.22,$0.39,10.69
2022-12-31,3.45,$-0.19,0.0
2022-09-30,3.72,$0.11,33.94
2022-06-30,4.09,$1.20,3.42
2022-03-31,5.54,$0.33,16.85
2021-12-31,5.54,$0.50,11.12
2021-09-30,5.71,$0.42,13.47
2021-06-30,5.63,$-0.59,0.0
2021-03-31,5.28,$-0.21,0.0
2020-12-31,4.86,$0.28,17.44
2020-09-30,3.72,$0.46,8.17
2020-06-30,3.97,$0.36,10.88
2020-03-31,4.1,$0.20,20.99
2019-12-31,4.69,$0.00,0.0
2019-09-30,5.87,$-0.07,0.0
2019-06-30,5.65,$0.92,6.14
2019-03-31,5.77,$0.79,7.27
