KalVista Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,KalVista Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,KalVista Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,KalVista Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.0,,0.0
2025-01-31,8.91,$-2.44,0.0
2024-10-31,10.27,$-2.80,0.0
2024-07-31,14.54,$-2.53,0.0
2024-04-30,11.35,$-2.44,0.0
2024-01-31,15.77,$-2.98,0.0
2023-10-31,8.49,$-2.29,0.0
2023-07-31,10.1,$-2.55,0.0
2023-04-30,8.53,$-2.74,0.0
2023-01-31,7.96,$-3.00,0.0
2022-10-31,5.07,$-3.49,0.0
2022-07-31,12.35,$-3.46,0.0
2022-04-30,12.73,$-3.23,0.0
2022-01-31,12.62,$-2.65,0.0
2021-10-31,17.98,$-2.49,0.0
2021-07-31,20.14,$-2.12,0.0
2021-04-30,24.97,$-1.58,0.0
2021-01-31,15.2,$-1.79,0.0
2020-10-31,17.21,$-2.10,0.0
2020-07-31,9.83,$-2.09,0.0
2020-04-30,10.91,$-2.54,0.0
2020-01-31,15.3,$-2.75,0.0
2019-10-31,10.6,$-2.52,0.0
2019-07-31,16.59,$-2.51,0.0
2019-04-30,23.0,$-2.48,0.0
2019-01-31,18.69,$-2.16,0.0
2018-10-31,18.9,$1.03,18.42
2018-07-31,9.37,$0.73,12.89
2018-04-30,9.62,$0.88,10.87
2018-01-31,10.44,$-0.86,0.0
2017-10-31,12.73,$7.65,1.66
2017-07-31,7.24,$1.87,3.88
2017-04-30,7.49,$3.36,2.23
2017-01-31,7.03,$-2.76,0.0
2016-10-31,7.34,$-20.55,0.0
2016-09-30,6.45,$-33.52,0.0
2016-07-31,7.57,$-20.26,0.0
2016-06-30,9.28,$-28.87,0.0
2016-04-30,10.25,$-13.71,0.0
2016-03-31,9.01,$3.85,2.34
2016-01-31,34.02,$-17.08,0.0
2015-12-31,50.68,$0.00,0.0
