KLX Energy Services Holdings Price to Free Cash Flow Ratio Historical Data,KLX Energy Services Holdings Price to Free Cash Flow Ratio Historical Data,KLX Energy Services Holdings Price to Free Cash Flow Ratio Historical Data,KLX Energy Services Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.83,,20.01
2024-12-31,4.98,$0.19,26.02
2024-09-30,5.47,$1.14,4.79
2024-06-30,4.95,$2.02,2.45
2024-03-31,7.74,$4.43,1.75
2023-12-31,11.26,$4.76,2.36
2023-09-30,11.85,$3.50,3.39
2023-06-30,9.73,$3.75,2.6
2023-03-31,11.65,$-0.30,0.0
2022-12-31,17.31,$-0.27,0.0
2022-09-30,8.23,$-2.48,0.0
2022-06-30,4.33,$-3.51,0.0
2022-03-31,5.17,$-2.70,0.0
2021-12-31,3.1,$-1.77,0.0
2021-10-31,4.38,$-3.41,0.0
2021-09-30,4.76,$6.90,0.69
2021-07-31,5.96,$-4.11,0.0
2021-06-30,9.55,$-4.76,0.0
2021-04-30,7.71,$-6.78,0.0
2021-01-31,8.39,$-16.57,0.0
2020-10-31,3.92,$-5.37,0.0
2020-07-31,10.0,$2.15,4.66
2020-04-30,6.5,$3.44,1.89
2020-01-31,20.2,$-3.04,0.0
2019-10-31,39.7,$-3.04,0.0
2019-07-31,78.6,$-9.07,0.0
2019-04-30,140.25,$-5.97,0.0
