Lennar Price to Free Cash Flow Ratio Historical Data,Lennar Price to Free Cash Flow Ratio Historical Data,Lennar Price to Free Cash Flow Ratio Historical Data,Lennar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,120.07,,14.24
2024-11-30,174.39,$8.43,20.69
2024-08-31,181.56,$13.88,13.08
2024-05-31,159.35,$14.20,11.23
2024-02-29,157.02,$15.66,10.03
2023-11-30,126.29,$17.98,7.02
2023-08-31,117.18,$18.35,6.39
2023-05-31,105.08,$16.62,6.32
2023-02-28,94.58,$14.82,6.38
2022-11-30,85.55,$11.16,7.67
2022-08-31,75.07,$5.74,13.08
2022-05-31,77.4,$6.04,12.81
2022-02-28,86.28,$6.59,13.08
2021-11-30,100.44,$8.18,12.27
2021-08-31,102.34,$8.33,12.28
2021-05-31,94.19,$11.51,8.19
2021-02-28,78.73,$13.53,5.82
2020-11-30,71.77,$13.42,5.35
2020-08-31,70.58,$13.08,5.4
2020-05-31,56.92,$10.37,5.49
2020-02-29,56.63,$7.56,7.49
2019-11-30,55.88,$4.63,12.06
2019-08-31,47.75,$3.83,12.45
2019-05-31,46.45,$3.57,13.03
2019-02-28,44.85,$4.04,11.09
2018-11-30,39.9,$5.06,7.89
2018-08-31,48.21,$4.39,10.97
2018-05-31,48.24,$4.33,11.15
2018-02-28,52.71,$2.64,19.95
2017-11-30,58.45,$3.67,15.92
2017-08-31,48.16,$3.23,14.89
2017-05-31,47.7,$2.05,23.31
2017-02-28,45.32,$3.20,14.15
2016-11-30,39.49,$1.94,20.35
2016-08-31,43.86,$3.20,13.73
2016-05-31,42.22,$2.26,18.66
2016-02-29,38.83,$1.04,37.26
2015-11-30,47.36,$-1.20,0.0
2015-08-31,47.04,$-2.47,0.0
2015-05-31,43.06,$-3.18,0.0
2015-02-28,46.33,$-3.61,0.0
2014-11-30,43.55,$-2.18,0.0
2014-08-31,36.08,$-1.38,0.0
2014-05-31,37.63,$-2.43,0.0
2014-02-28,40.33,$-2.25,0.0
2013-11-30,32.83,$-1.93,0.0
2013-08-31,29.17,$-3.40,0.0
2013-05-31,36.01,$-2.84,0.0
2013-02-28,35.31,$-1.93,0.0
2012-11-30,34.77,$-1.11,0.0
2012-08-31,29.61,$-3.02,0.0
2012-05-31,24.89,$-2.37,0.0
2012-02-29,21.29,$-2.04,0.0
2011-11-30,16.73,$-1.38,0.0
2011-08-31,13.32,$-0.16,0.0
2011-05-31,17.17,$-0.03,0.0
2011-02-28,18.19,$1.00,18.27
2010-11-30,13.68,$1.43,9.6
2010-08-31,11.81,$1.26,9.36
2010-05-31,15.5,$2.41,6.44
2010-02-28,14.67,$2.44,6.01
2009-11-30,11.3,$2.47,4.57
