LGL Price to Free Cash Flow Ratio Historical Data,LGL Price to Free Cash Flow Ratio Historical Data,LGL Price to Free Cash Flow Ratio Historical Data,LGL Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.66,,45.06
2024-09-30,6.13,$0.15,41.47
2024-06-30,5.37,$0.14,38.52
2024-03-31,6.35,$0.11,58.1
2023-12-31,6.14,$0.07,85.87
2023-09-30,4.29,$0.09,48.64
2023-06-30,4.76,$-0.04,0.0
2023-03-31,4.28,$-0.14,0.0
2022-12-31,4.05,$-0.28,0.0
2022-09-30,11.32,$-0.13,0.0
2022-06-30,12.98,$-0.13,0.0
2022-03-31,10.95,$-0.16,0.0
2021-12-31,11.4,$0.05,240.51
2021-09-30,13.79,$0.15,93.18
2021-06-30,10.41,$0.32,32.43
2021-03-31,10.99,$0.43,25.64
2020-12-31,12.54,$0.53,23.49
2020-09-30,8.92,$0.53,16.68
2020-06-30,8.5,$0.64,13.28
2020-03-31,8.93,$0.53,16.9
2019-12-31,15.0,$0.30,49.69
2019-09-30,10.29,$0.23,44.22
2019-06-30,8.15,$0.07,122.19
2019-03-31,6.54,$0.22,29.81
2018-12-31,6.1,$0.27,22.33
2018-09-30,7.1,$0.24,29.02
2018-06-30,5.17,$0.09,60.82
2018-03-31,5.59,$0.13,42.74
2017-12-31,5.62,$0.21,26.39
2017-09-30,5.61,$0.04,130.47
2017-06-30,4.82,$0.19,24.81
2017-03-31,5.08,$0.11,46.01
2016-12-31,5.02,$0.04,126.13
2016-09-30,4.28,$-0.09,0.0
2016-06-30,3.28,$0.03,97.33
2016-03-31,3.29,$0.16,19.98
2015-12-31,3.7,$0.10,36.6
2015-09-30,3.48,$0.13,26.77
2015-06-30,4.41,$-0.30,0.0
2015-03-31,4.15,$-0.45,0.0
2014-12-31,3.58,$-0.60,0.0
2014-09-30,3.85,$-0.74,0.0
2014-06-30,5.15,$-0.46,0.0
2014-03-31,5.25,$-0.29,0.0
2013-12-31,5.41,$-0.42,0.0
2013-09-30,5.99,$-0.38,0.0
2013-06-30,6.53,$-0.31,0.0
2013-03-31,5.63,$-0.80,0.0
2012-12-31,5.25,$-0.53,0.0
2012-09-30,6.3,$-0.19,0.0
2012-06-30,6.52,$-0.40,0.0
2012-03-31,7.26,$-0.05,0.0
2011-12-31,7.33,$0.24,30.08
2011-09-30,8.8,$1.03,8.51
2011-06-30,9.89,$2.04,4.85
2011-03-31,13.89,$2.35,5.91
2010-12-31,17.99,$2.11,8.54
2010-09-30,21.95,$1.20,18.35
2010-06-30,11.24,$-0.06,0.0
2010-03-31,5.51,$-0.60,0.0
2009-12-31,3.29,$0.14,23.2
