Lumos Pharma Price to Free Cash Flow Ratio Historical Data,Lumos Pharma Price to Free Cash Flow Ratio Historical Data,Lumos Pharma Price to Free Cash Flow Ratio Historical Data,Lumos Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-11-07,4.33,,0.0
2024-06-30,2.32,$-4.25,0.0
2024-03-31,2.82,$-4.29,0.0
2023-12-31,3.18,$-3.82,0.0
2023-09-30,3.3,$-3.67,0.0
2023-06-30,3.3,$-3.30,0.0
2023-03-31,3.31,$-3.34,0.0
2022-12-31,3.61,$-3.18,0.0
2022-09-30,8.85,$-6.30,0.0
2022-06-30,7.7,$-3.46,0.0
2022-03-31,9.4,$-3.27,0.0
2021-12-31,6.93,$-3.56,0.0
2021-09-30,9.51,$3.55,2.68
2021-06-30,10.0,$1.46,6.87
2021-03-31,11.7,$1.66,7.06
2020-12-31,35.71,$1.40,25.55
2020-09-30,13.82,$0.65,21.23
2020-06-30,16.49,$-0.85,0.0
2020-03-31,8.5,$5.44,1.56
2019-12-31,22.77,$6.64,3.43
2019-09-30,14.31,$0.48,30.05
2019-06-30,13.32,$0.21,63.13
2018-12-31,13.68,$-9.14,0.0
2018-09-30,21.51,$-13.35,0.0
2018-06-30,42.84,$-11.70,0.0
2018-03-31,65.25,$-13.34,0.0
2017-12-31,72.99,$-13.82,0.0
2017-09-30,91.62,$-7.28,0.0
2017-06-30,66.15,$-9.41,0.0
2017-03-31,216.9,$-11.66,0.0
2016-12-31,92.52,$-13.82,0.0
2016-09-30,135.18,$-18.67,0.0
2016-06-30,101.34,$-17.17,0.0
2016-03-31,163.8,$-14.15,0.0
2015-12-31,327.51,$-8.84,0.0
2015-09-30,322.56,$32.22,10.01
2015-06-30,398.43,$31.74,12.55
2015-03-31,492.39,$31.98,15.4
2014-12-31,357.75,$30.83,11.6
2014-09-30,192.78,$-10.19,0.0
2014-06-30,238.95,$-9.66,0.0
2014-03-31,255.6,$-8.94,0.0
2013-12-31,198.09,$-9.46,0.0
2013-09-30,169.02,$-9.67,0.0
2013-06-30,177.48,$-8.54,0.0
2013-03-31,110.43,$-9.19,0.0
2012-12-31,112.5,$-9.42,0.0
2012-09-30,146.07,$-24.42,0.0
2012-06-30,134.82,$-24.65,0.0
