WM Technology Price to Free Cash Flow Ratio Historical Data,WM Technology Price to Free Cash Flow Ratio Historical Data,WM Technology Price to Free Cash Flow Ratio Historical Data,WM Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.26,,4.89
2024-12-31,1.38,$0.26,5.35
2024-09-30,0.87,$0.26,3.31
2024-06-30,1.04,$0.27,3.86
2024-03-31,1.33,$0.16,8.31
2023-12-31,0.72,$0.12,6.07
2023-09-30,1.32,$-0.02,0.0
2023-06-30,0.84,$-0.20,0.0
2023-03-31,0.85,$-0.23,0.0
2022-12-31,1.01,$-0.33,0.0
2022-09-30,1.61,$-0.29,0.0
2022-06-30,3.29,$-0.03,0.0
2022-03-31,7.82,$0.22,35.23
2021-12-31,5.98,$0.33,17.95
2021-09-30,14.5,$0.36,40.2
2021-06-30,17.86,$0.22,81.14
2021-03-31,18.36,$0.01,1624.78
2020-12-31,12.77,0,0.0
2020-09-30,10.13,0,0.0
