Moleculin Biotech Price to Free Cash Flow Ratio Historical Data,Moleculin Biotech Price to Free Cash Flow Ratio Historical Data,Moleculin Biotech Price to Free Cash Flow Ratio Historical Data,Moleculin Biotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.09,,0.0
2024-09-30,2.84,$-179.47,0.0
2024-06-30,3.52,$-183.19,0.0
2024-03-31,5.91,$-183.42,0.0
2023-12-31,12.88,$-183.84,0.0
2023-09-30,6.41,$-216.54,0.0
2023-06-30,8.68,$-216.71,0.0
2023-03-31,14.4,$-218.44,0.0
2022-12-31,15.9,$-217.82,0.0
2022-09-30,15.9,$-13.58,0.0
2022-06-30,21.75,$-11.85,0.0
2022-03-31,26.7,$-10.61,0.0
2021-12-31,27.9,$-10.58,0.0
2021-09-30,45.0,$-13.38,0.0
2021-06-30,55.05,$-19.06,0.0
2021-03-31,61.2,$-22.30,0.0
2020-12-31,71.74,$-27.63,0.0
2020-09-30,73.14,$-35.21,0.0
2020-06-30,87.1,$-32.58,0.0
2020-03-31,54.86,$-33.98,0.0
2019-12-31,82.36,$-38.10,0.0
2019-09-30,99.9,$-37.21,0.0
2019-06-30,112.5,$-41.57,0.0
2019-03-31,72.9,$-44.92,0.0
2018-12-31,93.6,$-43.82,0.0
2018-09-30,144.0,$-45.41,0.0
2018-06-30,161.1,$-40.68,0.0
2018-03-31,162.0,$-37.88,0.0
2017-12-31,167.4,$-35.61,0.0
2017-09-30,215.1,$-36.07,0.0
2017-06-30,168.3,$-34.73,0.0
2017-03-31,105.3,$-43.22,0.0
