AG Mortgage Investment Trust Price to Free Cash Flow Ratio Historical Data,AG Mortgage Investment Trust Price to Free Cash Flow Ratio Historical Data,AG Mortgage Investment Trust Price to Free Cash Flow Ratio Historical Data,AG Mortgage Investment Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.85,,4.15
2024-12-31,6.65,$1.89,3.51
2024-09-30,7.51,$1.80,4.18
2024-06-30,6.48,$1.46,4.43
2024-03-31,5.8,$1.43,4.06
2023-12-31,5.85,$1.33,4.38
2023-09-30,4.95,$1.13,4.38
2023-06-30,5.28,$1.18,4.48
2023-03-31,4.82,$1.10,4.36
2022-12-31,4.31,$0.98,4.38
2022-09-30,3.23,$1.14,2.83
2022-06-30,5.05,$1.54,3.29
2022-03-31,6.75,$1.35,5.0
2021-12-31,7.27,$1.62,4.49
2021-09-30,7.94,$1.78,4.45
2021-06-30,8.74,$0.91,9.59
2021-03-31,8.11,$0.13,61.32
2020-12-31,5.85,$0.35,16.52
2020-09-30,5.42,$2.87,1.89
2020-06-30,6.27,$4.22,1.48
2020-03-31,5.38,$5.85,0.92
2019-12-31,30.29,$6.08,4.98
2019-09-30,28.91,$20.05,1.44
2019-06-30,29.47,$6.22,4.74
2019-03-31,30.26,$6.51,4.65
2018-12-31,27.8,$8.25,3.37
2018-09-30,30.78,$-7.17,0.0
2018-06-30,30.95,$7.49,4.13
2018-03-31,27.88,$7.59,3.67
2017-12-31,29.69,$6.33,4.69
2017-09-30,29.32,$4.79,6.12
2017-06-30,27.08,$4.95,5.47
2017-03-31,26.06,$5.49,4.74
2016-12-31,24.06,$5.67,4.25
2016-09-30,21.53,$7.49,2.88
2016-06-30,19.16,$7.58,2.53
2016-03-31,16.79,$8.29,2.03
2015-12-31,15.9,$9.19,1.73
2015-09-30,18.19,$9.56,1.9
2015-06-30,19.91,$9.82,2.03
2015-03-31,21.01,$9.87,2.13
2014-12-31,20.06,$9.90,2.03
2014-09-30,18.62,$10.53,1.77
2014-06-30,19.18,$10.91,1.76
2014-03-31,17.2,$12.51,1.38
2013-12-31,14.86,$14.00,1.06
2013-09-30,15.2,$20.39,0.75
2013-06-30,16.61,$20.38,0.82
2013-03-31,21.67,$20.45,1.06
2012-12-31,19.37,$18.90,1.02
2012-09-30,19.25,$8.06,2.39
2012-06-30,16.61,$6.82,2.43
2012-03-31,14.76,$2.44,6.05
