Mueller Industries Price to Free Cash Flow Ratio Historical Data,Mueller Industries Price to Free Cash Flow Ratio Historical Data,Mueller Industries Price to Free Cash Flow Ratio Historical Data,Mueller Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,79.59,,15.7
2024-12-31,79.36,$5.07,15.66
2024-09-30,73.91,$5.49,13.47
2024-06-30,56.62,$5.72,9.9
2024-03-31,53.63,$5.93,9.05
2023-12-31,46.71,$5.45,8.58
2023-09-30,37.09,$5.78,6.42
2023-06-30,42.91,$6.41,6.69
2023-03-31,35.98,$6.50,5.54
2022-12-31,28.77,$6.14,4.69
2022-09-30,28.88,$5.48,5.27
2022-06-30,25.79,$4.22,6.12
2022-03-31,26.1,$3.31,7.88
2021-12-31,28.48,$2.48,11.46
2021-09-30,19.67,$1.69,11.65
2021-06-30,20.67,$0.65,31.73
2021-03-31,19.68,$1.42,13.83
2020-12-31,16.66,$1.79,9.33
2020-09-30,12.8,$2.02,6.33
2020-06-30,12.53,$2.15,5.83
2020-03-31,11.25,$1.91,5.89
2019-12-31,14.85,$1.53,9.69
2019-09-30,13.37,$1.20,11.1
2019-06-30,13.6,$1.43,9.52
2019-03-31,14.5,$1.29,11.28
2018-12-31,10.78,$1.29,8.33
2018-09-30,13.31,$0.92,14.43
2018-06-30,13.51,$0.56,24.18
2018-03-31,11.94,$0.14,82.39
2017-12-31,16.11,$0.26,62.93
2017-09-30,15.85,$1.03,15.34
2017-06-30,13.76,$0.87,15.84
2017-03-31,15.42,$0.94,16.38
2016-12-31,17.95,$1.14,15.72
2016-09-30,14.53,$1.03,14.05
2016-06-30,14.25,$1.43,9.97
2016-03-31,13.1,$1.26,10.38
2015-12-31,12.04,$1.20,10.06
2015-09-30,13.11,$1.61,8.15
2015-06-30,15.35,$1.38,11.11
2015-03-31,15.94,$1.16,13.79
2014-12-31,15.03,$0.75,20.02
2014-09-30,12.53,$0.28,44.78
2014-06-30,12.88,$0.51,25.43
2014-03-31,13.1,$1.11,11.81
2013-12-31,13.73,$1.35,10.19
2013-09-30,12.11,$1.07,11.33
2013-06-30,10.94,$0.67,16.27
2013-03-31,11.54,$0.30,38.32
2012-12-31,10.8,$0.36,29.71
2012-09-30,9.79,$0.72,13.68
2012-06-30,9.15,$1.17,7.82
2012-03-31,9.74,$0.63,15.49
2011-12-31,8.22,$0.90,9.17
2011-09-30,8.23,$0.32,25.96
2011-06-30,8.07,$-0.22,0.0
2011-03-31,7.77,$0.17,44.64
2010-12-31,6.92,$0.25,27.69
2010-09-30,5.59,$0.24,22.99
2010-06-30,5.17,$0.19,27.29
2010-03-31,5.61,$0.44,12.86
2009-12-31,5.18,$0.43,12.1
