MeridianLink Price to Free Cash Flow Ratio Historical Data,MeridianLink Price to Free Cash Flow Ratio Historical Data,MeridianLink Price to Free Cash Flow Ratio Historical Data,MeridianLink Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.34,,20.97
2024-12-31,20.65,$0.92,22.39
2024-09-30,20.57,$0.90,22.96
2024-06-30,21.36,$0.87,24.45
2024-03-31,18.7,$0.75,25.04
2023-12-31,24.77,$0.72,34.45
2023-09-30,17.06,$0.64,26.61
2023-06-30,20.8,$0.63,33.04
2023-03-31,161.47,$0.71,226.24
2022-12-31,128.15,$0.79,161.9
2022-09-30,151.95,$1.16,131.09
2022-06-30,155.87,$1.84,84.62
