Marsh & McLennan Price to Free Cash Flow Ratio Historical Data,Marsh & McLennan Price to Free Cash Flow Ratio Historical Data,Marsh & McLennan Price to Free Cash Flow Ratio Historical Data,Marsh & McLennan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,233.37,,29.04
2024-12-31,212.41,$8.04,26.43
2024-09-30,222.27,$7.58,29.33
2024-06-30,209.16,$7.28,28.75
2024-03-31,203.75,$7.76,26.26
2023-12-31,186.75,$7.70,24.25
2023-09-30,186.87,$7.12,26.23
2023-06-30,184.01,$6.22,29.59
2023-03-31,162.38,$5.74,28.27
2022-12-31,160.79,$5.93,27.11
2022-09-30,144.51,$5.71,25.29
2022-06-30,149.72,$5.57,26.89
2022-03-31,163.84,$5.37,30.5
2021-12-31,166.53,$6.06,27.47
2021-09-30,144.58,$6.09,23.76
2021-06-30,133.83,$6.35,21.06
2021-03-31,115.43,$6.48,17.81
2020-12-31,110.42,$5.93,18.63
2020-09-30,107.81,$5.18,20.82
2020-06-30,100.51,$4.38,22.97
2020-03-31,80.52,$3.00,26.88
2019-12-31,103.34,$3.80,27.22
2019-09-30,92.37,$3.96,23.3
2019-06-30,91.68,$3.76,24.4
2019-03-31,85.92,$4.28,20.07
2018-12-31,72.97,$4.14,17.61
2018-09-30,75.31,$3.46,21.78
2018-06-30,74.26,$3.24,22.95
2018-03-31,74.48,$3.14,23.7
2017-12-31,73.07,$3.08,23.72
2017-09-30,74.9,$3.33,22.48
2017-06-30,69.67,$3.52,19.77
2017-03-31,65.73,$3.67,17.89
2016-12-31,59.83,$3.36,17.83
2016-09-30,59.22,$3.33,17.78
2016-06-30,59.98,$3.26,18.41
2016-03-31,52.99,$2.85,18.63
2015-12-31,48.05,$2.92,16.46
2015-09-30,44.99,$3.01,14.96
2015-06-30,48.58,$2.95,16.45
2015-03-31,47.82,$2.91,16.45
2014-12-31,48.56,$3.17,15.31
2014-09-30,44.16,$2.73,16.16
2014-06-30,43.49,$2.43,17.92
2014-03-31,41.16,$2.05,20.03
2013-12-31,40.15,$1.69,23.71
2013-09-30,35.95,$1.43,25.15
2013-06-30,32.75,$1.34,24.39
2013-03-31,30.96,$1.61,19.24
2012-12-31,27.92,$1.83,15.29
2012-09-30,27.3,$2.06,13.25
2012-06-30,25.75,$2.10,12.25
2012-03-31,26.02,$2.39,10.89
2011-12-31,24.92,$2.59,9.62
2011-09-30,20.76,$2.54,8.17
2011-06-30,24.22,$0.93,26.06
2011-03-31,22.98,$0.66,35.08
2010-12-31,20.92,$0.84,24.9
2010-09-30,18.29,$0.01,1618.98
2010-06-30,16.96,$1.62,10.46
2010-03-31,18.21,$1.04,17.46
2009-12-31,16.32,$0.65,25.0
