Molecular Templates Price to Free Cash Flow Ratio Historical Data,Molecular Templates Price to Free Cash Flow Ratio Historical Data,Molecular Templates Price to Free Cash Flow Ratio Historical Data,Molecular Templates Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-27,0.04,,0.0
2024-06-30,1.15,$-3.27,0.0
2024-03-31,2.24,$-4.82,0.0
2023-12-31,3.73,$-9.28,0.0
2023-09-30,6.32,$-12.16,0.0
2023-06-30,7.2,$-19.47,0.0
2023-03-31,5.7,$-22.23,0.0
2022-12-31,4.92,$-24.55,0.0
2022-09-30,11.25,$-25.93,0.0
2022-06-30,13.67,$-26.15,0.0
2022-03-31,51.75,$-28.76,0.0
2021-12-31,58.8,$-9.32,0.0
2021-09-30,100.65,$-11.24,0.0
2021-06-30,117.3,$-9.63,0.0
2021-03-31,189.3,$-10.53,0.0
2020-12-31,140.85,$-28.72,0.0
2020-09-30,163.8,$-15.77,0.0
2020-06-30,206.85,$-19.13,0.0
2020-03-31,199.35,$-15.39,0.0
2019-12-31,209.78,$-13.85,0.0
2019-09-30,98.85,$-7.81,0.0
2019-06-30,125.25,$-4.78,0.0
2019-03-31,87.15,$-3.95,0.0
2018-12-31,60.6,$-5.16,0.0
2018-09-30,80.85,$-18.80,0.0
2018-06-30,78.45,$142.36,0.55
2018-03-31,120.0,$171.12,0.7
2017-12-31,150.3,$-8.57,0.0
2017-09-30,104.55,$-276.85,0.0
2017-06-30,64.85,$-807.39,0.0
2017-03-31,94.05,$-841.87,0.0
2016-12-31,72.77,$-680.76,0.0
2016-09-30,111.79,$-424.52,0.0
2016-06-30,104.84,$-75.24,0.0
2016-03-31,75.9,$-100.47,0.0
2015-12-31,79.18,$-85.54,0.0
2015-09-30,671.55,$-95.51,0.0
2015-06-30,666.6,$-100.17,0.0
2015-03-31,669.9,$-94.00,0.0
2014-12-31,524.7,$-72.75,0.0
2014-09-30,595.65,$-70.30,0.0
2014-06-30,653.4,$-67.16,0.0
2014-03-31,785.4,$-57.57,0.0
2013-12-31,770.55,$28.50,27.04
2013-09-30,767.25,$77.54,9.9
2013-06-30,867.9,$97.85,8.87
2013-03-31,760.65,$147.03,5.17
2012-12-31,694.65,$89.53,7.76
2012-09-30,1194.6,$40.71,29.35
2012-06-30,1221.0,$25.55,47.8
2012-03-31,1452.0,$-20.20,0.0
2011-12-31,201.3,$-87.60,0.0
2011-09-30,237.6,$-90.74,0.0
2011-06-30,275.55,$-98.30,0.0
2011-03-31,254.1,$-110.50,0.0
2010-12-31,222.73,$-110.23,0.0
2010-09-30,209.55,$-88.10,0.0
2010-06-30,206.23,$-104.87,0.0
2010-03-31,306.9,$-124.01,0.0
2009-12-31,297.0,$-149.89,0.0
