Nabors Industries Price to Free Cash Flow Ratio Historical Data,Nabors Industries Price to Free Cash Flow Ratio Historical Data,Nabors Industries Price to Free Cash Flow Ratio Historical Data,Nabors Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.78,,29.81
2024-12-31,57.17,$1.47,38.93
2024-09-30,64.47,$13.09,4.92
2024-06-30,71.16,$10.35,6.87
2024-03-31,86.13,$7.30,11.8
2023-12-31,81.63,$10.59,7.71
2023-09-30,123.14,$16.54,7.45
2023-06-30,93.03,$20.63,4.51
2023-03-31,121.91,$23.09,5.28
2022-12-31,154.87,$14.35,10.8
2022-09-30,101.45,$10.26,9.89
2022-06-30,133.9,$12.95,10.34
2022-03-31,152.72,$15.00,10.18
2021-12-31,81.09,$25.61,3.17
2021-09-30,96.48,$26.97,3.58
2021-06-30,114.24,$21.17,5.4
2021-03-31,93.45,$27.33,3.42
2020-12-31,58.23,$21.85,2.67
2020-09-30,24.44,$40.82,0.6
2020-06-30,37.02,$50.19,0.74
2020-03-31,19.51,$46.64,0.42
2019-12-31,140.46,$36.52,3.85
2019-09-30,90.84,$26.63,3.41
2019-06-30,140.28,$0.01,0.0
2019-03-31,165.71,$-1.61,0.0
2018-12-31,96.05,$-19.91,0.0
2018-09-30,289.73,$-41.76,0.0
2018-06-30,298.39,$-52.97,0.0
2018-03-31,322.73,$-76.16,0.0
2017-12-31,312.75,$-91.16,0.0
2017-09-30,365.87,$-83.79,0.0
2017-06-30,365.76,$-59.57,0.0
2017-03-31,583.23,$-24.51,0.0
2016-12-31,728.57,$24.68,29.52
2016-09-30,538.27,$44.26,12.16
2016-06-30,442.28,$32.68,13.53
2016-03-31,402.63,$13.84,29.09
2015-12-31,369.68,$-1.86,0.0
2015-09-30,407.76,$-14.32,0.0
2015-06-30,618.97,$-12.62,0.0
2015-03-31,583.18,$-24.79,0.0
2014-12-31,551.95,$-6.78,0.0
2014-09-30,962.69,$-9.34,0.0
2014-06-30,1239.34,$9.92,124.88
2014-03-31,1038.61,$58.06,17.89
2013-12-31,714.63,$40.46,17.66
2013-09-30,673.8,$62.25,10.82
2013-06-30,640.69,$79.39,8.07
2013-03-31,677.1,$37.32,18.14
2012-12-31,601.76,$7.54,79.82
2012-09-30,584.27,$-49.35,0.0
2012-06-30,599.67,$-121.62,0.0
2012-03-31,728.35,$-127.98,0.0
2011-12-31,722.11,$-100.20,0.0
2011-09-30,510.56,$-49.44,0.0
2011-06-30,1026.11,$-9.52,0.0
2011-03-31,1265.15,$6.46,195.9
2010-12-31,976.97,$30.47,32.07
2010-09-30,752.09,$33.87,22.21
2010-06-30,733.77,$56.35,13.02
2010-03-31,817.47,$83.98,9.73
2009-12-31,911.59,$91.37,9.98
