ENDRA Life Sciences Price to Free Cash Flow Ratio Historical Data,ENDRA Life Sciences Price to Free Cash Flow Ratio Historical Data,ENDRA Life Sciences Price to Free Cash Flow Ratio Historical Data,ENDRA Life Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.03,,0.0
2024-09-30,7.04,$-803.51,0.0
2024-06-30,169.93,"$-1,501.40",0.0
2024-03-31,1015.0,"$-2,979.93",0.0
2023-12-31,3710.0,"$-2,629.93",0.0
2023-09-30,1942.68,"$-1,851.67",0.0
2023-06-30,2450.0,"$-1,402.60",0.0
2023-03-31,4007.32,$-3.81,0.0
2022-12-31,7122.5,$-4.49,0.0
2022-09-30,10710.0,$-8.38,0.0
2022-06-30,8162.0,$-7.46,0.0
2022-03-31,13650.0,$-6.87,0.0
2021-12-31,24213.0,$-5.46,0.0
2021-09-30,60550.0,$-0.40,0.0
2021-06-30,76300.0,$-0.26,0.0
2021-03-31,91000.0,$-0.37,0.0
2020-12-31,26250.0,$-0.56,0.0
2020-09-30,25602.5,$-0.62,0.0
2020-06-30,33684.0,$-1.03,0.0
2020-03-31,25277.0,$-1.08,0.0
2019-12-31,58800.0,$-1.15,0.0
2019-09-30,37100.0,$-1.13,0.0
2019-06-30,59850.0,$-1.20,0.0
2019-03-31,58100.0,$-1.45,0.0
2018-12-31,52500.0,$-1.73,0.0
2018-09-30,107100.0,$-2.21,0.0
2018-06-30,89250.0,$-1.74,0.0
2018-03-31,91000.0,$-1.83,0.0
