NextEra Energy Price to Free Cash Flow Ratio Historical Data,NextEra Energy Price to Free Cash Flow Ratio Historical Data,NextEra Energy Price to Free Cash Flow Ratio Historical Data,NextEra Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,71.15,,0.0
2024-12-31,71.69,$-5.57,0.0
2024-09-30,83.96,$-5.93,0.0
2024-06-30,69.89,$-5.62,0.0
2024-03-31,63.08,$-6.20,0.0
2023-12-31,59.39,$-6.80,0.0
2023-09-30,55.57,$-11.36,0.0
2023-06-30,71.47,$-5.86,0.0
2023-03-31,73.78,$-4.49,0.0
2022-12-31,79.51,$-5.57,0.0
2022-09-30,74.2,$-4.40,0.0
2022-06-30,72.94,$-4.08,0.0
2022-03-31,79.34,$-5.57,0.0
2021-12-31,86.96,$-4.32,0.0
2021-09-30,72.82,$-2.85,0.0
2021-06-30,67.65,$-1.56,0.0
2021-03-31,69.43,$-2.29,0.0
2020-12-31,70.48,$-2.85,0.0
2020-09-30,63.1,$-2.62,0.0
2020-06-30,54.32,$-3.81,0.0
2020-03-31,54.13,$-2.00,0.0
2019-12-31,54.18,$-4.12,0.0
2019-09-30,51.85,$-0.15,0.0
2019-06-30,45.33,$1.06,42.72
2019-03-31,42.51,$-1.60,0.0
2018-12-31,37.97,$1.22,31.13
2018-09-30,36.61,$2.88,12.72
2018-06-30,36.25,$-0.98,0.0
2018-03-31,35.21,$2.74,12.86
2017-12-31,33.43,$0.65,51.32
2017-09-30,31.17,$1.06,29.37
2017-06-30,29.61,$3.01,9.84
2017-03-31,26.93,$0.67,40.19
2016-12-31,24.88,$1.50,16.63
2016-09-30,25.28,$-1.81,0.0
2016-06-30,26.76,$-2.05,0.0
2016-03-31,24.11,$-2.28,0.0
2015-12-31,21.01,$-1.23,0.0
2015-09-30,19.57,$-0.86,0.0
2015-06-30,19.52,$-0.86,0.0
2015-03-31,20.56,$-0.45,0.0
2014-12-31,20.85,$-0.69,0.0
2014-09-30,18.29,$-0.53,0.0
2014-06-30,19.82,$-0.59,0.0
2014-03-31,18.35,$-0.82,0.0
2013-12-31,16.3,$-0.83,0.0
2013-09-30,15.14,$-1.91,0.0
2013-06-30,15.27,$-2.53,0.0
2013-03-31,14.43,$-3.01,0.0
2012-12-31,12.74,$-3.26,0.0
2012-09-30,12.83,$-2.18,0.0
2012-06-30,12.45,$-1.55,0.0
2012-03-31,10.95,$-1.24,0.0
2011-12-31,10.8,$-0.81,0.0
2011-09-30,9.49,$-1.14,0.0
2011-06-30,9.99,$-1.12,0.0
2011-03-31,9.49,$-1.18,0.0
2010-12-31,8.86,$-1.22,0.0
2010-09-30,9.18,$-1.31,0.0
2010-06-30,8.16,$-1.38,0.0
2010-03-31,8.0,$-1.25,0.0
2009-12-31,8.66,$-0.95,0.0
