Enpro Price to Free Cash Flow Ratio Historical Data,Enpro Price to Free Cash Flow Ratio Historical Data,Enpro Price to Free Cash Flow Ratio Historical Data,Enpro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,173.97,,28.24
2024-12-31,172.45,$6.16,27.99
2024-09-30,161.93,$5.84,27.71
2024-06-30,145.05,$6.79,21.36
2024-03-31,168.17,$7.18,23.43
2023-12-31,155.87,$8.29,18.8
2023-09-30,120.25,$5.17,23.26
2023-06-30,132.2,$4.14,31.97
2023-03-31,102.57,$3.51,29.25
2022-12-31,107.02,$3.65,29.32
2022-09-30,83.47,$6.88,12.12
2022-06-30,80.23,$5.63,14.26
2022-03-31,95.43,$5.74,16.64
2021-12-31,107.19,$5.25,20.42
2021-09-30,84.62,$2.83,29.88
2021-06-30,94.06,$2.53,37.22
2021-03-31,82.32,$2.32,35.5
2020-12-31,72.68,$1.40,51.91
2020-09-30,54.09,$3.35,16.16
2020-06-30,47.06,$5.31,8.86
2020-03-31,37.57,$5.27,7.13
2019-12-31,63.17,$5.25,12.03
2019-09-30,64.59,$6.95,9.3
2019-06-30,59.81,$5.95,10.05
2019-03-31,60.14,$11.29,5.32
2018-12-31,56.08,$9.92,5.65
2018-09-30,68.05,$5.14,13.23
2018-06-30,65.06,$4.84,13.43
2018-03-31,71.73,$0.07,1061.13
2017-12-31,86.41,$0.25,348.84
2017-09-30,74.23,$3.84,19.33
2017-06-30,65.58,$2.69,24.38
2017-03-31,65.17,$1.34,48.77
2016-12-31,61.49,$1.16,53.13
2016-09-30,51.69,$0.87,59.7
2016-06-30,40.23,$1.92,21.01
2016-03-31,52.05,$1.71,30.48
2015-12-31,39.42,$2.00,19.67
2015-09-30,35.08,$0.88,39.86
2015-06-30,51.03,$-0.45,0.0
2015-03-31,58.62,$-0.74,0.0
2014-12-31,55.62,$-0.78,0.0
2014-09-30,53.64,$-0.56,0.0
2014-06-30,64.83,$0.67,96.35
2014-03-31,64.4,$1.30,49.66
2013-12-31,51.09,$1.28,40.02
2013-09-30,53.36,$2.48,21.48
2013-06-30,44.98,$3.30,13.62
2013-03-31,45.35,$2.30,19.71
2012-12-31,36.24,$3.58,10.13
2012-09-30,31.91,$2.97,10.76
2012-06-30,33.12,$1.76,18.77
2012-03-31,36.42,$2.92,12.49
2011-12-31,29.23,$2.19,13.34
2011-09-30,26.3,$1.05,25.06
2011-06-30,42.6,$1.80,23.66
2011-03-31,32.19,$0.07,461.77
2010-12-31,36.83,$0.56,65.72
2010-09-30,27.72,$1.67,16.56
2010-06-30,24.95,$1.13,22.16
2010-03-31,25.77,$1.84,14.03
2009-12-31,23.4,$1.85,12.68
