Insperity Price to Free Cash Flow Ratio Historical Data,Insperity Price to Free Cash Flow Ratio Historical Data,Insperity Price to Free Cash Flow Ratio Historical Data,Insperity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,87.41,,6.89
2024-12-31,77.51,$12.68,6.11
2024-09-30,87.38,$-2.21,0.0
2024-06-30,89.96,$7.36,12.22
2024-03-31,108.11,$4.00,27.05
2023-12-31,114.96,$4.16,27.65
2023-09-30,95.25,$8.49,11.21
2023-06-30,115.43,$5.62,20.54
2023-03-31,117.4,$7.57,15.5
2022-12-31,109.25,$8.13,13.44
2022-09-30,97.75,$7.78,12.57
2022-06-30,95.14,$6.55,14.52
2022-03-31,95.19,$7.50,12.69
2021-12-31,111.39,$5.84,19.06
2021-09-30,102.24,$6.22,16.43
2021-06-30,83.08,$4.09,20.31
2021-03-31,76.61,$5.93,12.93
2020-12-31,74.17,$6.39,11.6
2020-09-30,59.39,$4.39,13.53
2020-06-30,58.33,$5.77,10.11
2020-03-31,33.4,$1.14,29.28
2019-12-31,76.59,$3.69,20.76
2019-09-30,87.45,$2.70,32.41
2019-06-30,107.98,$3.39,31.88
2019-03-31,109.05,$5.79,18.84
2018-12-31,82.13,$3.60,22.83
2018-09-30,103.55,$4.52,22.89
2018-06-30,83.48,$4.32,19.34
2018-03-31,60.83,$4.16,14.63
2017-12-31,50.02,$4.36,11.46
2017-09-30,37.62,$3.36,11.2
2017-06-30,30.24,$1.64,18.39
2017-03-31,37.62,$1.29,29.22
2016-12-31,30.02,$2.67,11.25
2016-09-30,30.63,$2.04,15.03
2016-06-30,32.45,$3.94,8.25
2016-03-31,21.66,$4.19,5.16
2015-12-31,20.07,$1.22,16.39
2015-09-30,18.22,$2.24,8.15
2015-06-30,21.01,$1.65,12.74
2015-03-31,21.49,$1.54,14.0
2014-12-31,13.88,$2.48,5.59
2014-09-30,10.48,$1.10,9.53
2014-06-30,12.56,$0.21,60.96
2014-03-31,11.73,$0.30,38.66
2013-12-31,13.6,$0.47,29.2
2013-09-30,14.08,$0.32,43.73
2013-06-30,11.29,$0.95,11.92
2013-03-31,10.51,$1.16,9.05
2012-12-31,11.99,$1.46,8.21
2012-09-30,8.94,$1.30,6.91
2012-06-30,9.52,$-0.01,0.0
2012-03-31,10.71,$0.34,31.66
2011-12-31,8.82,$0.83,10.57
2011-09-30,7.69,$0.37,20.75
2011-06-30,10.17,$2.56,3.97
2011-03-31,10.38,$2.36,4.4
2010-12-31,9.96,$1.42,7.01
2010-09-30,9.11,$1.68,5.42
2010-06-30,8.13,$0.87,9.35
2010-03-31,7.14,$1.04,6.85
2009-12-31,7.84,$-0.14,0.0
