NetApp Price to Free Cash Flow Ratio Historical Data,NetApp Price to Free Cash Flow Ratio Historical Data,NetApp Price to Free Cash Flow Ratio Historical Data,NetApp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,92.1,,15.41
2025-01-31,122.1,$5.97,20.44
2024-10-31,115.31,$6.46,17.86
2024-07-31,126.45,$6.66,18.98
2024-04-30,101.37,$7.18,14.11
2024-01-31,86.08,$5.44,15.82
2023-10-31,71.43,$4.78,14.94
2023-07-31,76.06,$4.92,15.47
2023-04-30,60.91,$3.95,15.44
2023-01-31,63.64,$4.57,13.94
2022-10-31,66.02,$3.97,16.63
2022-07-31,67.48,$4.43,15.23
2022-04-30,68.77,$4.30,15.99
2022-01-31,80.71,$6.74,11.98
2021-10-31,82.86,$7.35,11.27
2021-07-31,73.45,$6.78,10.83
2021-04-30,68.51,$6.82,10.04
2021-01-31,60.55,$4.38,13.82
2020-10-31,39.71,$4.63,8.58
2020-07-31,39.66,$4.16,9.54
2020-04-30,38.75,$4.43,8.75
2020-01-31,46.71,$4.30,10.87
2019-10-31,48.51,$4.26,11.38
2019-07-31,50.3,$4.68,10.75
2019-04-30,62.18,$4.51,13.79
2019-01-31,54.12,$4.65,11.64
2018-10-31,66.16,$5.23,12.65
2018-07-31,65.03,$5.79,11.22
2018-04-30,55.57,$5.59,9.94
2018-01-31,51.16,$5.26,9.73
2017-10-31,36.83,$3.67,10.05
2017-07-31,35.84,$2.98,12.05
2017-04-30,32.73,$2.89,11.34
2017-01-31,31.32,$3.10,10.09
2016-10-31,27.6,$3.48,7.94
2016-07-31,21.31,$3.47,6.15
2016-04-30,18.97,$3.08,6.15
2016-01-31,17.48,$2.79,6.26
2015-10-31,26.91,$2.54,10.61
2015-07-31,24.51,$3.22,7.6
2015-04-30,28.36,$3.41,8.33
2015-01-31,29.44,$3.21,9.18
2014-10-31,33.19,$3.21,10.35
2014-07-31,30.0,$3.11,9.64
2014-04-30,27.38,$3.24,8.44
2014-01-31,32.43,$3.40,9.53
2013-10-31,29.61,$3.31,8.96
2013-07-31,31.26,$3.10,10.07
2013-04-30,26.42,$2.94,8.98
2013-01-31,27.26,$3.04,8.96
2012-10-31,20.38,$2.82,7.23
2012-07-31,24.74,$2.85,8.69
2012-04-30,29.4,$2.75,10.7
2012-01-31,28.58,$2.64,10.84
2011-10-31,31.02,$2.82,11.0
2011-07-31,35.99,$2.84,12.68
2011-04-30,39.46,$2.85,13.83
2011-01-31,41.45,$3.07,13.48
2010-10-31,40.33,$2.79,14.47
2010-07-31,32.03,$2.70,11.85
2010-04-30,26.26,$2.38,11.05
2010-01-31,22.06,$1.27,17.32
2009-10-31,20.48,$2.53,8.1
