NWTN Price to Free Cash Flow Ratio Historical Data,NWTN Price to Free Cash Flow Ratio Historical Data,NWTN Price to Free Cash Flow Ratio Historical Data,NWTN Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.42,,9.86
2022-12-31,10.73,$0.04,249.53
2022-06-30,10.27,$-0.16,0.0
2022-03-31,10.37,$-0.01,0.0
2021-12-31,11.82,$-0.03,0.0
2021-09-30,10.2,$-0.01,0.0
2021-06-30,10.09,$-0.03,0.0
2021-03-31,9.99,$-0.04,0.0
2020-12-31,10.05,$-0.09,0.0
