OceanFirst Financial Price to Free Cash Flow Ratio Historical Data,OceanFirst Financial Price to Free Cash Flow Ratio Historical Data,OceanFirst Financial Price to Free Cash Flow Ratio Historical Data,OceanFirst Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.17,,11.37
2024-12-31,18.1,$1.51,11.98
2024-09-30,18.38,$0.30,62.06
2024-06-30,15.52,$1.60,9.7
2024-03-31,15.82,$2.37,6.67
2023-12-31,16.53,$1.98,8.36
2023-09-30,13.59,$3.11,4.37
2023-06-30,14.51,$3.40,4.27
2023-03-31,16.93,$3.43,4.94
2022-12-31,19.31,$3.90,4.95
2022-09-30,16.79,$3.67,4.58
2022-06-30,17.07,$1.92,8.9
2022-03-31,17.77,$2.30,7.73
2021-12-31,19.48,$1.98,9.85
2021-09-30,18.65,$1.54,12.1
2021-06-30,18.01,$2.77,6.5
2021-03-31,20.53,$1.46,14.02
2020-12-31,15.83,$1.96,8.07
2020-09-30,11.5,$2.35,4.9
2020-06-30,14.65,$2.08,7.04
2020-03-31,13.08,$2.20,5.94
2019-12-31,20.84,$1.92,10.84
2019-09-30,19.12,$2.24,8.52
2019-06-30,19.99,$2.48,8.06
2019-03-31,19.35,$2.53,7.66
2018-12-31,17.98,$1.91,9.4
2018-09-30,21.59,$0.55,39.36
2018-06-30,23.64,$0.67,35.52
2018-03-31,20.99,$0.75,28.17
2017-12-31,20.49,$0.95,21.59
2017-09-30,21.34,$1.16,18.37
2017-06-30,20.93,$1.35,15.48
2017-03-31,21.63,$1.06,20.41
2016-12-31,22.93,$1.14,20.17
2016-09-30,14.6,$1.96,7.44
2016-06-30,13.68,$1.24,11.04
2016-03-31,13.22,$1.64,8.05
2015-12-31,14.87,$1.45,10.23
2015-09-30,12.69,$1.79,7.1
2015-06-30,13.65,$1.91,7.14
2015-03-31,12.54,$1.35,9.29
2014-12-31,12.35,$1.41,8.78
2014-09-30,11.37,$1.11,10.2
2014-06-30,11.75,$1.12,10.51
2014-03-31,12.46,$1.41,8.81
2013-12-31,11.98,$1.82,6.6
2013-09-30,11.75,$1.66,7.09
2013-06-30,10.73,$1.35,7.97
2013-03-31,9.87,$1.35,7.32
2012-12-31,9.33,$1.59,5.88
2012-09-30,9.87,$1.36,7.24
2012-06-30,9.58,$1.93,4.97
2012-03-31,9.42,$1.57,5.98
2011-12-31,8.57,$0.84,10.19
2011-09-30,7.58,$1.26,6.0
2011-06-30,8.34,$1.36,6.13
2011-03-31,8.91,$1.84,4.85
2010-12-31,8.15,$2.05,3.97
2010-09-30,7.69,$0.99,7.75
2010-06-30,7.49,$1.46,5.13
2010-03-31,6.99,$0.37,19.1
2009-12-31,6.87,$1.10,6.23
