Old National Bancorp Price to Free Cash Flow Ratio Historical Data,Old National Bancorp Price to Free Cash Flow Ratio Historical Data,Old National Bancorp Price to Free Cash Flow Ratio Historical Data,Old National Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.37,,11.2
2024-12-31,21.71,$1.91,11.37
2024-09-30,18.55,$1.36,13.61
2024-06-30,16.96,$1.75,9.71
2024-03-31,17.03,$1.82,9.33
2023-12-31,16.38,$1.65,9.93
2023-09-30,13.97,$2.00,7.0
2023-06-30,13.27,$2.06,6.46
2023-03-31,13.58,$2.30,5.91
2022-12-31,16.8,$2.82,5.95
2022-09-30,15.27,$2.69,5.69
2022-06-30,13.6,$2.49,5.46
2022-03-31,14.93,$2.08,7.17
2021-12-31,16.39,$1.87,8.75
2021-09-30,15.21,$2.16,7.05
2021-06-30,15.67,$2.31,6.77
2021-03-31,17.09,$1.83,9.35
2020-12-31,14.52,$1.18,12.26
2020-09-30,10.91,$1.00,10.89
2020-06-30,11.84,$0.56,20.99
2020-03-31,11.23,$0.86,13.0
2019-12-31,15.44,$1.16,13.32
2019-09-30,14.42,$0.92,15.67
2019-06-30,13.8,$1.02,13.48
2019-03-31,13.53,$1.16,11.64
2018-12-31,12.61,$1.33,9.48
2018-09-30,15.7,$1.35,11.67
2018-06-30,15.03,$1.34,11.18
2018-03-31,13.56,$1.11,12.18
2017-12-31,13.89,$1.67,8.32
2017-09-30,14.47,$0.18,78.42
2017-06-30,13.53,$-0.94,0.0
2017-03-31,13.5,$-0.78,0.0
2016-12-31,14.02,$-1.51,0.0
2016-09-30,10.78,$-0.46,0.0
2016-06-30,9.52,$0.47,20.21
2016-03-31,9.17,$0.54,16.87
2015-12-31,10.09,$0.39,25.6
2015-09-30,10.27,$1.13,9.06
2015-06-30,10.58,$1.35,7.85
2015-03-31,10.29,$1.13,9.14
2014-12-31,10.7,$1.68,6.38
2014-09-30,9.25,$1.49,6.22
2014-06-30,10.1,$1.50,6.74
2014-03-31,10.47,$1.77,5.9
2013-12-31,10.7,$1.48,7.21
2013-09-30,9.83,$1.55,6.34
2013-06-30,9.5,$0.34,27.69
2013-03-31,9.38,$1.16,8.09
2012-12-31,8.03,$1.02,7.85
2012-09-30,9.14,$0.79,11.55
2012-06-30,8.01,$1.50,5.34
2012-03-31,8.7,$0.89,9.76
2011-12-31,7.66,$1.39,5.49
2011-09-30,6.08,$1.31,4.64
2011-06-30,7.0,$1.36,5.16
2011-03-31,6.9,$1.30,5.33
2010-12-31,7.61,$1.07,7.13
2010-09-30,6.67,$0.21,31.19
2010-06-30,6.53,$0.78,8.39
2010-03-31,7.49,$0.44,17.06
2009-12-31,7.75,$0.37,20.66
