OPAL Fuels Price to Free Cash Flow Ratio Historical Data,OPAL Fuels Price to Free Cash Flow Ratio Historical Data,OPAL Fuels Price to Free Cash Flow Ratio Historical Data,OPAL Fuels Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.97,,0.0
2024-09-30,3.65,$-0.98,0.0
2024-06-30,4.09,$-1.67,0.0
2024-03-31,5.02,$-1.96,0.0
2023-12-31,5.52,$-2.75,0.0
2023-09-30,8.2,$-4.18,0.0
2023-06-30,7.46,$-7.45,0.0
2023-03-31,6.97,$-6.36,0.0
2022-12-31,7.28,$-5.09,0.0
2022-09-30,8.28,$-4.15,0.0
2022-06-30,9.95,$0.20,48.63
2022-03-31,9.92,0,0.0
