Old Republic Price to Free Cash Flow Ratio Historical Data,Old Republic Price to Free Cash Flow Ratio Historical Data,Old Republic Price to Free Cash Flow Ratio Historical Data,Old Republic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.77,,8.05
2024-12-31,36.19,$4.69,7.71
2024-09-30,35.17,$4.34,8.1
2024-06-30,30.45,$3.72,8.19
2024-03-31,30.28,$3.13,9.66
2023-12-31,28.71,$3.08,9.31
2023-09-30,26.09,$3.02,8.65
2023-06-30,24.16,$3.39,7.13
2023-03-31,23.74,$3.48,6.82
2022-12-31,22.74,$3.86,5.89
2022-09-30,19.52,$4.12,4.74
2022-06-30,19.75,$3.94,5.01
2022-03-31,22.63,$4.24,5.33
2021-12-31,21.31,$4.32,4.93
2021-09-30,19.87,$4.43,4.49
2021-06-30,19.93,$4.20,4.75
2021-03-31,17.33,$4.23,4.1
2020-12-31,14.68,$3.96,3.7
2020-09-30,10.85,$3.61,3.0
2020-06-30,11.85,$3.54,3.35
2020-03-31,10.95,$3.37,3.24
2019-12-31,15.9,$3.11,5.12
2019-09-30,16.6,$2.75,6.04
2019-06-30,14.96,$2.61,5.72
2019-03-31,13.86,$2.51,5.52
2018-12-31,13.5,$2.53,5.34
2018-09-30,14.56,$1.97,7.41
2018-06-30,12.84,$1.81,7.08
2018-03-31,13.71,$1.71,8.04
2017-12-31,12.88,$1.73,7.46
2017-09-30,11.76,$2.54,4.62
2017-06-30,11.55,$2.47,4.68
2017-03-31,11.99,$2.21,5.42
2016-12-31,11.02,$2.15,5.13
2016-09-30,10.12,$1.77,5.73
2016-06-30,10.97,$1.85,5.92
2016-03-31,10.29,$2.10,4.89
2015-12-31,10.38,$2.32,4.47
2015-09-30,8.63,$2.55,3.38
2015-06-30,8.52,$-0.17,0.0
2015-03-31,8.05,$-0.43,0.0
2014-12-31,7.79,$-0.61,0.0
2014-09-30,7.51,$-0.48,0.0
2014-06-30,8.59,$1.97,4.36
2014-03-31,8.43,$2.31,3.65
2013-12-31,8.77,$2.34,3.75
2013-09-30,7.74,$2.38,3.25
2013-06-30,6.39,$2.52,2.53
2013-03-31,6.22,$2.38,2.62
2012-12-31,5.14,$2.08,2.47
2012-09-30,4.41,$1.39,3.18
2012-06-30,3.86,$0.74,5.22
2012-03-31,4.82,$0.02,200.73
2011-12-31,4.1,$-0.37,0.0
2011-09-30,3.86,$-0.94,0.0
2011-06-30,4.99,$-0.97,0.0
2011-03-31,5.32,$-1.29,0.0
2010-12-31,5.63,$-1.17,0.0
2010-09-30,5.64,$-0.33,0.0
2010-06-30,4.88,$0.27,17.97
2010-03-31,5.03,$1.06,4.75
2009-12-31,3.93,$2.26,1.74
