Oshkosh Price to Free Cash Flow Ratio Historical Data,Oshkosh Price to Free Cash Flow Ratio Historical Data,Oshkosh Price to Free Cash Flow Ratio Historical Data,Oshkosh Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,97.68,,23.89
2024-12-31,95.07,$4.09,23.26
2024-09-30,99.79,$-0.81,0.0
2024-06-30,107.26,$-3.87,0.0
2024-03-31,123.16,$-2.25,0.0
2023-12-31,106.62,$4.16,25.6
2023-09-30,93.86,$3.71,25.27
2023-06-30,84.81,$4.35,19.5
2023-03-31,81.02,$-0.04,0.0
2022-12-31,85.52,$5.02,17.05
2022-09-30,67.88,$4.59,14.8
2022-06-30,78.99,$8.23,9.6
2022-03-31,96.38,$16.21,5.95
2021-12-31,107.59,$16.14,6.66
2021-09-30,97.41,$16.27,5.99
2021-06-30,118.27,$11.20,10.56
2021-03-31,112.31,$9.15,12.28
2020-12-31,81.2,$5.05,16.09
2020-09-30,69.04,$-2.35,0.0
2020-06-30,67.02,$-2.80,0.0
2020-03-31,59.9,$-3.21,0.0
2019-12-31,87.82,$-2.35,0.0
2019-09-30,70.1,$-1.42,0.0
2019-06-30,76.91,$-3.44,0.0
2019-03-31,68.97,$-0.25,0.0
2018-12-31,56.09,$-1.42,0.0
2018-09-30,64.91,$0.16,418.22
2018-06-30,63.84,$1.12,56.8
2018-03-31,69.93,$-1.27,0.0
2017-12-31,82.02,$0.16,528.51
2017-09-30,74.28,$0.82,90.32
2017-06-30,61.81,$0.67,92.28
2017-03-31,61.36,$1.54,39.75
2016-12-31,57.62,$0.82,70.06
2016-09-30,49.78,$0.74,67.02
2016-06-30,42.26,$3.80,11.13
2016-03-31,36.05,$3.35,10.77
2015-12-31,34.22,$0.74,46.07
2015-09-30,31.7,$-1.28,0.0
2015-06-30,36.82,$-2.98,0.0
2015-03-31,42.25,$-1.92,0.0
2014-12-31,41.98,$-1.28,0.0
2014-09-30,37.96,$-0.22,0.0
2014-06-30,47.59,$-2.61,0.0
2014-03-31,50.31,$-1.63,0.0
2013-12-31,42.93,$-0.22,0.0
2013-09-30,41.62,$0.43,96.67
2013-06-30,32.26,$2.39,13.52
2013-03-31,36.1,$0.38,94.53
2012-12-31,25.19,$0.43,58.52
2012-09-30,23.31,$0.52,44.56
2012-06-30,17.8,$-1.56,0.0
2012-03-31,19.69,$-1.69,0.0
2011-12-31,18.17,$0.52,34.73
2011-09-30,13.37,$1.93,6.93
2011-06-30,24.59,$-0.71,0.0
2011-03-31,30.06,$-3.63,0.0
2010-12-31,29.94,$1.93,15.52
2010-09-30,23.37,$5.47,4.27
2010-06-30,26.48,$4.99,5.3
2010-03-31,34.28,$9.31,3.68
2009-12-31,31.46,$5.47,5.75
