Pathfinder Bancorp Price to Free Cash Flow Ratio Historical Data,Pathfinder Bancorp Price to Free Cash Flow Ratio Historical Data,Pathfinder Bancorp Price to Free Cash Flow Ratio Historical Data,Pathfinder Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.65,,4.32
2024-09-30,15.75,$3.85,4.09
2024-06-30,13.03,$2.18,5.99
2024-03-31,12.13,$1.30,9.36
2023-12-31,13.64,$2.23,6.11
2023-09-30,13.34,$2.58,5.16
2023-06-30,13.55,$2.71,5.0
2023-03-31,16.51,$3.90,4.23
2022-12-31,18.21,$3.51,5.19
2022-09-30,19.26,$2.20,8.75
2022-06-30,18.79,$2.97,6.33
2022-03-31,20.63,$3.52,5.87
2021-12-31,16.05,$3.67,4.37
2021-09-30,15.08,$3.70,4.07
2021-06-30,14.8,$2.94,5.04
2021-03-31,13.51,$2.33,5.8
2020-12-31,10.54,$9.83,1.07
2020-09-30,9.4,$9.62,0.98
2020-06-30,8.66,$9.45,0.92
2020-03-31,9.65,$9.92,0.97
2019-12-31,12.48,$1.01,12.31
2019-09-30,12.0,$0.68,17.78
2019-06-30,12.95,$-0.10,0.0
2019-03-31,11.56,$-0.01,0.0
2018-12-31,13.81,$0.77,17.84
2018-09-30,13.22,$1.41,9.39
2018-06-30,13.98,$1.65,8.48
2018-03-31,13.47,$1.35,9.98
2017-12-31,13.38,$1.16,11.51
2017-09-30,13.24,$1.10,12.07
2017-06-30,13.54,$1.09,12.43
2017-03-31,12.55,$1.09,11.54
2016-12-31,11.55,$1.20,9.66
2016-09-30,10.37,$0.62,16.63
2016-06-30,9.57,$0.81,11.77
2016-03-31,9.32,$0.69,13.48
2015-12-31,10.87,$0.88,12.38
2015-09-30,9.31,$1.36,6.85
2015-06-30,9.84,$1.23,7.98
2015-03-31,8.31,$0.72,11.49
2014-12-31,8.15,$0.63,12.83
2014-09-30,12.43,$-0.55,0.0
2014-06-30,12.06,$0.28,42.49
2014-03-31,12.06,$0.77,15.72
2013-12-31,11.22,$0.69,16.24
2013-09-30,10.74,$1.73,6.21
2013-06-30,10.88,$1.23,8.83
2013-03-31,10.69,$1.14,9.42
2012-12-31,8.48,$0.62,13.72
2012-09-30,8.75,$0.83,10.57
2012-06-30,7.37,$0.65,11.33
2012-03-31,7.96,$0.23,34.14
2011-12-31,7.25,$0.49,14.92
2011-09-30,6.95,$-0.26,0.0
2011-06-30,7.17,$0.19,37.75
2011-03-31,8.18,$0.49,16.65
2010-12-31,6.82,$0.36,19.05
2010-09-30,6.4,$0.73,8.76
2010-06-30,4.77,$0.26,18.26
2010-03-31,6.22,$-0.11,0.0
2009-12-31,4.42,$0.30,14.95
