Permian Basin Royalty Trust Price to Free Cash Flow Ratio Historical Data,Permian Basin Royalty Trust Price to Free Cash Flow Ratio Historical Data,Permian Basin Royalty Trust Price to Free Cash Flow Ratio Historical Data,Permian Basin Royalty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.16,,inf
2024-12-31,11.08,0.0,0.0
2024-09-30,11.84,0.0,0.0
2024-06-30,11.04,0.0,0.0
2024-03-31,11.71,0.0,0.0
2023-12-31,13.38,0.0,0.0
2023-09-30,19.99,0.0,0.0
2023-06-30,23.38,0.0,0.0
2023-03-31,22.77,0.0,0.0
2022-12-31,23.42,0.0,0.0
2022-09-30,14.94,0.0,0.0
2022-06-30,14.64,0.0,0.0
2022-03-31,10.96,0.0,0.0
2021-12-31,8.8,0.0,0.0
2021-09-30,4.95,0.0,0.0
2021-06-30,4.8,0.0,0.0
2021-03-31,3.36,0.0,0.0
2020-12-31,2.76,0.0,0.0
2020-09-30,2.04,0.0,0.0
2020-06-30,2.69,0.0,0.0
2020-03-31,2.27,0.0,0.0
2019-12-31,2.99,0.0,0.0
2019-09-30,3.92,0.0,0.0
2019-06-30,4.48,0.0,0.0
2019-03-31,5.46,0.0,0.0
2018-12-31,4.23,0.0,0.0
2018-09-30,5.61,0.0,0.0
2018-06-30,6.46,0.0,0.0
2018-03-31,6.58,0.0,0.0
2017-12-31,5.92,0.0,0.0
2017-09-30,5.72,0.0,0.0
2017-06-30,5.63,0.0,0.0
2017-03-31,5.95,0.0,0.0
2016-12-31,4.8,0.0,0.0
2016-09-30,4.25,0.0,0.0
2016-06-30,4.39,0.0,0.0
2016-03-31,3.65,0.0,0.0
2015-12-31,2.97,0.0,0.0
2015-09-30,3.55,0.0,0.0
2015-06-30,4.6,0.0,0.0
2015-03-31,4.58,0.0,0.0
2014-12-31,5.35,0.0,0.0
2014-09-30,7.51,0.0,0.0
2014-06-30,7.7,0.0,0.0
2014-03-31,6.98,0.0,0.0
2013-12-31,6.67,0.0,0.0
2013-09-30,7.28,0.0,0.0
2013-06-30,6.66,0.0,0.0
2013-03-31,6.13,0.0,0.0
2012-12-31,5.97,0.0,0.0
2012-09-30,7.36,0.0,0.0
2012-06-30,8.41,0.0,0.0
2012-03-31,10.65,0.0,0.0
2011-12-31,9.31,0.0,0.0
2011-09-30,9.21,0.0,0.0
2011-06-30,9.6,0.0,0.0
2011-03-31,9.51,0.0,0.0
2010-12-31,9.71,0.0,0.0
2010-09-30,8.34,0.0,0.0
2010-06-30,7.59,0.0,0.0
2010-03-31,7.15,0.0,0.0
2009-12-31,5.75,0.0,0.0
