Potlatch Price to Free Cash Flow Ratio Historical Data,Potlatch Price to Free Cash Flow Ratio Historical Data,Potlatch Price to Free Cash Flow Ratio Historical Data,Potlatch Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,45.74,,53.78
2024-12-31,39.25,$0.85,46.15
2024-09-30,44.57,$0.09,520.7
2024-06-30,38.59,$0.37,104.07
2024-03-31,45.57,$-0.25,0.0
2023-12-31,47.13,$0.47,100.77
2023-09-30,43.16,$0.82,52.94
2023-06-30,49.79,$0.71,69.67
2023-03-31,46.18,$1.51,30.59
2022-12-31,40.64,$4.21,9.65
2022-09-30,36.76,$4.52,8.13
2022-06-30,39.2,$5.85,6.7
2022-03-31,46.38,$7.06,6.57
2021-12-31,52.55,$6.34,8.29
2021-09-30,41.68,$8.02,5.2
2021-06-30,42.6,$7.97,5.34
2021-03-31,42.12,$6.11,6.89
2020-12-31,39.49,$4.28,9.22
2020-09-30,32.96,$2.55,12.93
2020-06-30,29.5,$1.53,19.3
2020-03-31,24.08,$1.55,15.49
2019-12-31,32.86,$1.20,27.28
2019-09-30,30.91,$1.25,24.71
2019-06-30,29.05,$1.48,19.59
2019-03-31,27.84,$1.65,16.83
2018-12-31,23.05,$2.05,11.23
2018-09-30,29.83,$2.45,12.16
2018-06-30,35.85,$2.38,15.07
2018-03-31,36.42,$2.42,15.03
2017-12-31,34.64,$2.73,12.68
2017-09-30,35.13,$2.64,13.29
2017-06-30,31.24,$2.67,11.71
2017-03-31,30.98,$4.95,6.26
2016-12-31,28.0,$4.70,5.95
2016-09-30,25.92,$4.46,5.81
2016-06-30,22.49,$4.40,5.11
2016-03-31,20.55,$0.97,21.14
2015-12-31,19.46,$0.76,25.69
2015-09-30,18.29,$-8.58,0.0
2015-06-30,22.19,$-8.30,0.0
2015-03-31,24.89,$-7.37,0.0
2014-12-31,25.78,$-6.89,0.0
2014-09-30,24.54,$2.35,10.45
2014-06-30,25.05,$2.25,11.16
2014-03-31,23.21,$1.96,11.87
2013-12-31,24.82,$1.64,15.17
2013-09-30,23.39,$1.91,12.23
2013-06-30,23.65,$1.88,12.61
2013-03-31,26.63,$1.86,14.3
2012-12-31,22.57,$1.25,18.02
2012-09-30,21.38,$0.78,27.55
2012-06-30,18.12,$0.87,20.93
2012-03-31,17.59,$1.04,16.98
2011-12-31,17.29,$1.50,11.53
2011-09-30,17.34,$2.43,7.13
2011-06-30,19.1,$2.88,6.64
2011-03-31,21.44,$2.99,7.17
2010-12-31,17.13,$2.84,6.03
2010-09-30,17.61,$1.95,9.01
2010-06-30,18.23,$2.61,6.99
2010-03-31,17.62,$1.95,9.04
2009-12-31,15.79,$2.65,5.95
