PDS Biotechnology Price to Free Cash Flow Ratio Historical Data,PDS Biotechnology Price to Free Cash Flow Ratio Historical Data,PDS Biotechnology Price to Free Cash Flow Ratio Historical Data,PDS Biotechnology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.36,,0.0
2024-09-30,3.82,$-1.00,0.0
2024-06-30,2.93,$-1.02,0.0
2024-03-31,3.96,$-0.94,0.0
2023-12-31,4.97,$-1.09,0.0
2023-09-30,5.05,$-1.07,0.0
2023-06-30,5.03,$-1.05,0.0
2023-03-31,6.15,$-1.09,0.0
2022-12-31,13.2,$-0.90,0.0
2022-09-30,2.97,$-0.85,0.0
2022-06-30,3.65,$-0.80,0.0
2022-03-31,6.19,$-0.56,0.0
2021-12-31,8.1,$-0.49,0.0
2021-09-30,14.9,$-0.62,0.0
2021-06-30,12.55,$-0.44,0.0
2021-03-31,4.55,$-0.65,0.0
2020-12-31,2.14,$-0.79,0.0
2020-09-30,2.33,$-1.71,0.0
2020-06-30,2.01,$-2.54,0.0
2020-03-31,0.73,$-3.23,0.0
2019-12-31,2.65,$-3.66,0.0
2019-09-30,3.38,$-2.49,0.0
2019-06-30,5.99,$-1.81,0.0
2019-03-31,7.4,$-1.07,0.0
2018-12-31,6.42,$-0.47,0.0
2018-09-30,16.4,$-6.78,0.0
2018-06-30,20.6,$-13.89,0.0
2018-03-31,23.6,$-19.54,0.0
2017-12-31,187.4,$-26.90,0.0
2017-09-30,214.6,$-24.95,0.0
2017-06-30,205.2,$-23.87,0.0
2017-03-31,182.2,$-23.92,0.0
2016-12-31,250.0,$-22.78,0.0
2016-09-30,208.2,$-75.35,0.0
