Penguin Solutions Price to Free Cash Flow Ratio Historical Data,Penguin Solutions Price to Free Cash Flow Ratio Historical Data,Penguin Solutions Price to Free Cash Flow Ratio Historical Data,Penguin Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.75,,24.47
2024-11-30,18.14,$0.81,22.48
2024-08-31,20.72,$1.10,18.81
2024-05-31,20.58,$1.93,10.64
2024-02-29,21.27,$1.12,18.98
2023-11-30,16.66,$3.46,4.82
2023-08-31,25.83,$1.27,20.4
2023-05-31,22.58,$1.29,17.56
2023-02-28,16.7,$1.22,13.67
2022-11-30,16.91,$-0.16,0.0
2022-08-31,18.35,$1.55,11.81
2022-05-31,24.65,$2.45,10.06
2022-02-28,27.45,$2.87,9.58
2021-11-30,28.51,$2.44,11.68
2021-08-31,24.23,$2.81,8.61
2021-05-31,23.7,$1.57,15.11
2021-02-28,23.35,$0.74,31.59
2020-11-30,15.35,$1.14,13.43
2020-08-31,12.6,$1.14,11.04
2020-05-31,13.39,$1.89,7.08
2020-02-29,13.42,$2.55,5.26
2019-11-30,15.4,$2.84,5.41
2019-08-31,14.21,$2.90,4.89
2019-05-31,8.52,$1.59,5.34
2019-02-28,14.66,$1.26,11.67
2018-11-30,17.15,$1.21,14.16
2018-08-31,16.5,$0.92,17.96
2018-05-31,22.27,$1.22,18.23
2018-02-28,17.36,$0.24,73.47
