Peapack-Gladstone Financial Price to Free Cash Flow Ratio Historical Data,Peapack-Gladstone Financial Price to Free Cash Flow Ratio Historical Data,Peapack-Gladstone Financial Price to Free Cash Flow Ratio Historical Data,Peapack-Gladstone Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.55,,8.31
2024-12-31,32.05,$3.56,9.01
2024-09-30,27.37,$2.31,11.84
2024-06-30,22.58,$2.33,9.69
2024-03-31,24.2,$2.61,9.26
2023-12-31,29.6,$3.70,8.0
2023-09-30,25.41,$4.34,5.86
2023-06-30,26.78,$4.88,5.49
2023-03-31,29.23,$6.73,4.35
2022-12-31,36.68,$6.23,5.89
2022-09-30,33.12,$5.91,5.6
2022-06-30,29.19,$4.79,6.09
2022-03-31,34.1,$3.87,8.8
2021-12-31,34.69,$3.71,9.36
2021-09-30,32.64,$4.29,7.61
2021-06-30,30.36,$3.37,9.0
2021-03-31,30.12,$2.86,10.53
2020-12-31,22.16,$1.76,12.57
2020-09-30,14.71,$1.82,8.1
2020-06-30,18.14,$3.15,5.75
2020-03-31,17.33,$3.08,5.62
2019-12-31,29.79,$4.36,6.84
2019-09-30,26.98,$3.74,7.21
2019-06-30,27.07,$3.90,6.93
2019-03-31,25.24,$4.18,6.04
2018-12-31,24.19,$3.30,7.33
2018-09-30,29.62,$3.58,8.29
2018-06-30,33.12,$2.90,11.41
2018-03-31,31.92,$2.40,13.31
2017-12-31,33.44,$2.98,11.2
2017-09-30,32.16,$2.95,10.91
2017-06-30,29.78,$3.12,9.55
2017-03-31,28.12,$3.50,8.03
2016-12-31,29.3,$2.40,12.19
2016-09-30,21.22,$2.13,9.96
2016-06-30,17.48,$1.71,10.25
2016-03-31,15.92,$1.75,9.1
2015-12-31,19.37,$1.84,10.53
2015-09-30,19.84,$1.78,11.15
2015-06-30,20.78,$2.07,10.04
2015-03-31,20.15,$1.55,13.01
2014-12-31,17.27,$1.92,9.01
2014-09-30,16.24,$1.81,8.96
2014-06-30,19.63,$0.73,26.97
2014-03-31,20.31,$2.68,7.58
2013-12-31,17.59,$3.29,5.35
2013-09-30,17.04,$3.84,4.44
2013-06-30,16.01,$4.11,3.9
2013-03-31,13.61,$2.44,5.59
2012-12-31,12.81,$1.90,6.73
2012-09-30,14.82,$1.64,9.06
2012-06-30,14.02,$2.93,4.79
2012-03-31,12.18,$3.08,3.95
2011-12-31,9.64,$2.56,3.77
2011-09-30,8.85,$2.29,3.87
2011-06-30,10.47,$1.34,7.79
2011-03-31,11.74,$1.91,6.13
2010-12-31,11.51,$2.16,5.32
2010-09-30,10.35,$2.18,4.76
2010-06-30,10.24,$-2.17,0.0
2010-03-31,13.7,$0.44,31.36
2009-12-31,11.01,$0.50,22.03
