ProPetro Holding Price to Free Cash Flow Ratio Historical Data,ProPetro Holding Price to Free Cash Flow Ratio Historical Data,ProPetro Holding Price to Free Cash Flow Ratio Historical Data,ProPetro Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.29,,6.5
2024-12-31,9.33,$1.12,8.32
2024-09-30,7.66,$1.19,6.44
2024-06-30,8.67,$1.45,5.98
2024-03-31,8.08,$0.84,9.6
2023-12-31,8.38,$0.11,74.09
2023-09-30,10.63,$0.45,23.59
2023-06-30,8.24,$-0.04,0.0
2023-03-31,7.19,$-0.08,0.0
2022-12-31,10.37,$-0.10,0.0
2022-09-30,8.05,$-0.36,0.0
2022-06-30,10.0,$0.02,476.19
2022-03-31,13.93,$0.17,80.01
2021-12-31,8.1,$0.49,16.49
2021-09-30,8.65,$0.32,27.06
2021-06-30,9.16,$0.36,25.36
2021-03-31,10.66,$0.24,43.87
2020-12-31,7.39,$0.45,16.59
2020-09-30,4.06,$0.74,5.48
2020-06-30,5.14,$1.46,3.51
2020-03-31,2.5,$1.13,2.22
2019-12-31,11.25,$-0.39,0.0
2019-09-30,9.09,$0.03,260.46
2019-06-30,20.7,$-0.08,0.0
2019-03-31,22.54,$0.16,138.45
2018-12-31,12.32,$1.29,9.53
2018-09-30,16.49,$-0.39,0.0
2018-06-30,15.68,$-1.16,0.0
2018-03-31,15.89,$-1.43,0.0
2017-12-31,20.16,$-2.16,0.0
