Paramount Gold Nevada Price to Free Cash Flow Ratio Historical Data,Paramount Gold Nevada Price to Free Cash Flow Ratio Historical Data,Paramount Gold Nevada Price to Free Cash Flow Ratio Historical Data,Paramount Gold Nevada Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.38,,0.0
2024-12-31,0.34,$-0.10,0.0
2024-09-30,0.4,$-0.09,0.0
2024-06-30,0.4,$-0.09,0.0
2024-03-31,0.41,$-0.09,0.0
2023-12-31,0.38,$-0.09,0.0
2023-09-30,0.28,$-0.10,0.0
2023-06-30,0.32,$-0.11,0.0
2023-03-31,0.35,$-0.12,0.0
2022-12-31,0.35,$-0.12,0.0
2022-09-30,0.31,$-0.15,0.0
2022-06-30,0.44,$-0.16,0.0
2022-03-31,0.65,$-0.17,0.0
2021-12-31,0.7,$-0.18,0.0
2021-09-30,0.82,$-0.15,0.0
2021-06-30,0.97,$-0.17,0.0
2021-03-31,1.0,$-0.14,0.0
2020-12-31,1.17,$-0.14,0.0
2020-09-30,1.14,$-0.18,0.0
2020-06-30,1.24,$-0.19,0.0
2020-03-31,0.61,$-0.23,0.0
2019-12-31,0.77,$-0.24,0.0
2019-09-30,0.68,$-0.21,0.0
2019-06-30,0.78,$-0.22,0.0
2019-03-31,0.83,$-0.21,0.0
2018-12-31,0.83,$-0.34,0.0
2018-09-30,1.06,$-0.35,0.0
2018-06-30,1.26,$-0.38,0.0
2018-03-31,1.41,$-0.48,0.0
2017-12-31,1.3,$-0.36,0.0
2017-09-30,1.57,$-0.43,0.0
2017-06-30,1.54,$-0.40,0.0
2017-03-31,1.67,$-0.32,0.0
2016-12-31,1.78,$-0.34,0.0
2016-09-30,2.01,$-0.26,0.0
2016-06-30,1.65,$-0.31,0.0
2016-03-31,1.44,$-0.31,0.0
2015-12-31,1.04,$-0.29,0.0
2015-09-30,1.14,$-0.28,0.0
2015-06-30,1.53,$-0.25,0.0
2015-03-31,1.01,$-0.41,0.0
2014-12-31,1.02,$-0.34,0.0
2014-09-30,0.9,$-0.33,0.0
2014-06-30,0.96,$-0.25,0.0
2014-03-31,1.23,$-0.02,0.0
2013-12-31,0.93,$-0.07,0.0
2013-09-30,1.29,$-0.08,0.0
2013-06-30,1.19,$-0.11,0.0
2013-03-31,2.23,$-0.13,0.0
2012-12-31,2.32,$-0.12,0.0
2012-09-30,2.66,$-0.13,0.0
2012-06-30,2.4,$-0.11,0.0
2012-03-31,2.26,$-0.10,0.0
2011-12-31,2.14,$-0.10,0.0
2011-09-30,2.36,$-0.09,0.0
2011-06-30,3.26,$-0.09,0.0
2011-03-31,3.88,$-0.11,0.0
2010-12-31,3.99,$-0.11,0.0
2010-09-30,1.53,$-0.11,0.0
2010-06-30,1.3,$-0.15,0.0
2010-03-31,1.39,$-0.13,0.0
2009-12-31,1.45,$-0.18,0.0
