Royal Caribbean Cruises Price to Free Cash Flow Ratio Historical Data,Royal Caribbean Cruises Price to Free Cash Flow Ratio Historical Data,Royal Caribbean Cruises Price to Free Cash Flow Ratio Historical Data,Royal Caribbean Cruises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,214.72,,30.0
2024-12-31,230.69,$7.16,32.23
2024-09-30,177.36,$-1.06,0.0
2024-06-30,159.06,$-1.97,0.0
2024-03-31,138.69,$1.77,78.57
2023-12-31,129.19,$2.05,63.04
2023-09-30,91.93,$8.79,10.45
2023-06-30,103.5,$6.41,16.14
2023-03-31,65.15,$2.83,23.0
2022-12-31,49.32,$-8.74,0.0
2022-09-30,37.81,$-13.56,0.0
2022-06-30,34.83,$-15.54,0.0
2022-03-31,83.59,$-16.05,0.0
2021-12-31,76.72,$-15.60,0.0
2021-09-30,88.75,$-17.91,0.0
2021-06-30,85.08,$-19.39,0.0
2021-03-31,85.41,$-28.41,0.0
2020-12-31,74.52,$-26.45,0.0
2020-09-30,64.58,$-21.26,0.0
2020-06-30,50.18,$-14.68,0.0
2020-03-31,32.1,$-4.62,0.0
2019-12-31,131.64,$3.29,39.95
2019-09-30,106.16,$1.65,64.2
2019-06-30,117.97,$2.04,57.92
2019-03-31,110.91,$5.77,19.22
2018-12-31,94.06,$-0.86,0.0
2018-09-30,124.13,$2.27,54.76
2018-06-30,98.45,$2.97,33.18
2018-03-31,111.26,$3.86,28.8
2017-12-31,112.17,$11.78,9.52
2017-09-30,110.94,$12.20,9.09
2017-06-30,101.7,$11.18,9.09
2017-03-31,90.95,$3.24,28.04
2016-12-31,75.67,$0.10,733.24
2016-09-30,68.73,$-1.06,0.0
2016-06-30,61.18,$-1.58,0.0
2016-03-31,74.48,$2.00,37.16
2015-12-31,91.27,$1.51,60.48
2015-09-30,80.02,$-3.20,0.0
2015-06-30,70.41,$-2.23,0.0
2015-03-31,72.94,$0.61,118.64
2014-12-31,73.17,$0.68,107.11
2014-09-30,59.5,$4.79,12.42
2014-06-30,48.95,$4.09,11.97
2014-03-31,47.81,$3.27,14.63
2013-12-31,41.35,$2.93,14.09
2013-09-30,33.19,$0.17,192.07
2013-06-30,28.72,$0.51,55.98
2013-03-31,28.53,$0.57,50.24
2012-12-31,29.1,$0.46,63.83
2012-09-30,25.77,$3.61,7.14
2012-06-30,22.12,$0.14,162.26
2012-03-31,24.9,$0.47,53.52
2011-12-31,20.88,$2.86,7.3
2011-09-30,18.17,$-2.07,0.0
2011-06-30,31.47,$0.76,41.27
2011-03-31,34.5,$-0.98,0.0
2010-12-31,39.3,$-2.41,0.0
2010-09-30,26.36,$-1.62,0.0
2010-06-30,19.04,$-5.57,0.0
2010-03-31,27.58,$-4.60,0.0
2009-12-31,21.14,$-6.23,0.0
