RCM Technologies Price to Free Cash Flow Ratio Historical Data,RCM Technologies Price to Free Cash Flow Ratio Historical Data,RCM Technologies Price to Free Cash Flow Ratio Historical Data,RCM Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.37,,33.91
2024-12-31,22.16,$0.45,48.9
2024-09-30,20.28,$-1.35,0.0
2024-06-30,18.72,$0.69,27.26
2024-03-31,21.37,$1.99,10.76
2023-12-31,29.04,$1.16,25.09
2023-09-30,19.54,$4.02,4.86
2023-06-30,18.4,$2.58,7.13
2023-03-31,11.56,$2.31,5.01
2022-12-31,12.34,$2.64,4.67
2022-09-30,16.69,$1.59,10.53
2022-06-30,20.24,$2.01,10.06
2022-03-31,9.86,$1.60,6.16
2021-12-31,7.12,$0.62,11.49
2021-09-30,6.08,$0.96,6.34
2021-06-30,4.12,$1.18,3.5
2021-03-31,3.55,$1.20,2.95
2020-12-31,2.07,$2.04,1.01
2020-09-30,1.41,$1.97,0.72
2020-06-30,1.34,$1.21,1.11
2020-03-31,1.25,$0.11,11.36
2019-12-31,3.0,$-0.40,0.0
2019-09-30,3.0,$-0.50,0.0
2019-06-30,4.0,$0.01,0.0
2019-03-31,3.94,$0.03,123.9
2018-12-31,3.1,$-0.13,0.0
2018-09-30,4.27,$-0.13,0.0
2018-06-30,4.94,$-0.41,0.0
2018-03-31,5.77,$-0.41,0.0
2017-12-31,6.25,$0.33,18.79
2017-09-30,5.72,$0.46,12.36
2017-06-30,5.05,$0.70,7.21
2017-03-31,4.76,$0.96,4.94
2016-12-31,6.36,$0.87,7.32
2016-09-30,6.63,$1.29,5.15
2016-06-30,5.21,$1.58,3.29
2016-03-31,5.31,$1.24,4.28
2015-12-31,5.5,$0.75,7.32
2015-09-30,4.06,$0.60,6.74
2015-06-30,4.68,$-0.31,0.0
2015-03-31,5.53,$-0.02,0.0
2014-12-31,5.78,$0.16,35.48
2014-09-30,4.86,$-0.45,0.0
2014-06-30,4.09,$-0.13,0.0
2014-03-31,4.33,$-0.65,0.0
2013-12-31,4.48,$-0.42,0.0
2013-09-30,3.87,$-0.37,0.0
2013-06-30,3.49,$-0.20,0.0
2013-03-31,3.89,$-0.02,0.0
2012-12-31,3.31,$0.24,13.59
2012-09-30,2.99,$0.33,9.13
2012-06-30,3.0,$0.87,3.47
2012-03-31,3.02,$0.58,5.22
2011-12-31,2.8,$0.47,5.95
2011-09-30,2.39,$0.56,4.22
2011-06-30,2.9,$0.35,8.29
2011-03-31,2.76,$1.05,2.63
2010-12-31,2.51,$1.00,2.5
2010-09-30,2.72,$1.14,2.4
2010-06-30,2.42,$0.81,2.98
2010-03-31,1.69,$0.59,2.86
2009-12-31,1.36,$1.21,1.12
