ResMed Price to Free Cash Flow Ratio Historical Data,ResMed Price to Free Cash Flow Ratio Historical Data,ResMed Price to Free Cash Flow Ratio Historical Data,ResMed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,221.11,,23.44
2024-12-31,228.69,$9.43,24.24
2024-09-30,243.6,$9.17,26.56
2024-06-30,190.57,$8.82,21.6
2024-03-31,196.71,$7.39,26.62
2023-12-31,170.43,$6.52,26.12
2023-09-30,146.03,$5.52,26.45
2023-06-30,215.19,$3.89,55.32
2023-03-31,215.27,$2.86,75.27
2022-12-31,204.19,$1.61,126.98
2022-09-30,213.72,$2.21,96.69
2022-06-30,204.85,$1.47,139.25
2022-03-31,236.46,$2.46,96.01
2021-12-31,253.55,$3.17,79.93
2021-09-30,256.13,$2.80,91.39
2021-06-30,239.22,$4.33,55.26
2021-03-31,187.89,$5.14,36.58
2020-12-31,205.45,$5.40,38.05
2020-09-30,165.39,$4.78,34.57
2020-06-30,184.84,$4.85,38.08
2020-03-31,141.46,$3.53,40.02
2019-12-31,148.5,$2.96,50.23
2019-09-30,129.12,$3.42,37.75
2019-06-30,116.62,$2.70,43.17
2019-03-31,99.36,$2.65,37.47
2018-12-31,108.4,$2.73,39.66
2018-09-30,109.43,$2.77,39.46
2018-06-30,97.93,$3.07,31.87
2018-03-31,92.77,$3.16,29.4
2017-12-31,79.49,$2.58,30.84
2017-09-30,71.92,$2.51,28.67
2017-06-30,72.43,$2.47,29.32
2017-03-31,66.61,$2.51,26.54
2016-12-31,57.16,$2.94,19.46
2016-09-30,59.34,$3.20,18.55
2016-06-30,57.64,$3.45,16.68
2016-03-31,52.43,$3.17,16.54
2015-12-31,48.43,$2.94,16.5
2015-09-30,45.73,$2.55,17.96
2015-06-30,50.31,$2.25,22.39
2015-03-31,63.75,$2.29,27.78
2014-12-31,49.57,$2.33,21.27
2014-09-30,43.33,$2.16,20.05
2014-06-30,44.29,$2.21,20.07
2014-03-31,38.9,$2.28,17.03
2013-12-31,40.76,$2.28,17.84
2013-09-30,45.51,$2.38,19.1
2013-06-30,38.69,$2.32,16.7
2013-03-31,39.61,$2.12,18.67
2012-12-31,35.37,$2.06,17.14
2012-09-30,34.29,$2.19,15.63
2012-06-30,26.32,$2.25,11.69
2012-03-31,26.07,$2.07,12.59
2011-12-31,21.43,$1.95,10.99
2011-09-30,24.29,$1.60,15.22
2011-06-30,26.11,$1.38,18.95
2011-03-31,25.31,$1.29,19.61
2010-12-31,29.22,$1.14,25.64
2010-09-30,27.68,$0.80,34.58
2010-06-30,25.65,$0.85,30.28
2010-03-31,26.85,$0.86,31.1
2009-12-31,22.05,$1.15,19.09
