Ranger Energy Services Price to Free Cash Flow Ratio Historical Data,Ranger Energy Services Price to Free Cash Flow Ratio Historical Data,Ranger Energy Services Price to Free Cash Flow Ratio Historical Data,Ranger Energy Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.5,,6.21
2024-12-31,15.48,$2.34,6.62
2024-09-30,11.87,$2.33,5.1
2024-06-30,10.44,$1.76,5.93
2024-03-31,11.15,$2.07,5.38
2023-12-31,10.06,$2.44,4.11
2023-09-30,13.88,$2.36,5.87
2023-06-30,9.98,$2.97,3.36
2023-03-31,9.93,$3.38,2.93
2022-12-31,10.73,$2.35,4.56
2022-09-30,9.53,$-3.26,0.0
2022-06-30,9.88,$-1.39,0.0
2022-03-31,9.99,$-2.81,0.0
2021-12-31,10.01,$-2.65,0.0
2021-09-30,8.97,$1.61,5.56
2021-06-30,7.8,$-0.43,0.0
2021-03-31,5.34,$1.88,2.84
2020-12-31,3.55,$2.36,1.51
2020-09-30,2.54,$3.88,0.66
2020-06-30,2.88,$5.59,0.51
2020-03-31,3.96,$3.59,1.1
2019-12-31,6.28,$3.30,1.9
2019-09-30,6.29,$0.03,218.27
2019-06-30,7.85,$-2.98,0.0
2019-03-31,7.77,$-4.16,0.0
2018-12-31,5.04,$-5.08,0.0
2018-09-30,8.17,$-4.86,0.0
2018-06-30,8.94,$-6.76,0.0
