Reviva Pharmaceuticals Holdings Price to Free Cash Flow Ratio Historical Data,Reviva Pharmaceuticals Holdings Price to Free Cash Flow Ratio Historical Data,Reviva Pharmaceuticals Holdings Price to Free Cash Flow Ratio Historical Data,Reviva Pharmaceuticals Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.1,,0.0
2024-09-30,1.44,$-1.09,0.0
2024-06-30,1.28,$-1.26,0.0
2024-03-31,3.78,$-1.22,0.0
2023-12-31,5.15,$-1.19,0.0
2023-09-30,4.88,$-1.05,0.0
2023-06-30,5.86,$-1.01,0.0
2023-03-31,4.19,$-1.00,0.0
2022-12-31,4.25,$-0.97,0.0
2022-09-30,1.59,$-1.10,0.0
2022-06-30,1.1,$-0.93,0.0
2022-03-31,2.46,$-0.72,0.0
2021-12-31,2.89,$-0.72,0.0
2021-09-30,4.07,$-1.51,0.0
2021-06-30,4.86,$-1.27,0.0
2021-03-31,5.74,$-1.55,0.0
2020-12-31,8.75,$-1.18,0.0
2020-11-30,10.96,$-0.17,0.0
2020-09-30,10.75,$-0.39,0.0
2020-08-31,10.65,$-0.11,0.0
2020-06-30,10.75,$-0.15,0.0
2020-05-31,10.54,$-0.02,0.0
2020-03-31,10.52,$-0.06,0.0
2020-02-29,10.56,$-0.06,0.0
2019-12-31,10.46,$-0.08,0.0
2019-11-30,10.44,$-0.07,0.0
2019-08-31,10.35,$0.01,855.37
2019-05-31,10.24,$-0.02,0.0
