Sana Biotechnology Price to Free Cash Flow Ratio Historical Data,Sana Biotechnology Price to Free Cash Flow Ratio Historical Data,Sana Biotechnology Price to Free Cash Flow Ratio Historical Data,Sana Biotechnology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.26,,0.0
2024-09-30,4.16,$-1.26,0.0
2024-06-30,5.46,$-1.32,0.0
2024-03-31,10.0,$-1.36,0.0
2023-12-31,4.08,$-1.41,0.0
2023-09-30,3.87,$-1.47,0.0
2023-06-30,5.96,$-1.53,0.0
2023-03-31,3.27,$-1.62,0.0
2022-12-31,3.95,$-1.65,0.0
2022-09-30,6.0,$-1.99,0.0
2022-06-30,6.43,$-1.98,0.0
2022-03-31,8.26,$-1.67,0.0
2021-12-31,15.48,$-1.69,0.0
