Sunshine Biopharma Price to Free Cash Flow Ratio Historical Data,Sunshine Biopharma Price to Free Cash Flow Ratio Historical Data,Sunshine Biopharma Price to Free Cash Flow Ratio Historical Data,Sunshine Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.23,,0.0
2024-09-30,3.18,$-232.61,0.0
2024-06-30,8.35,$-425.09,0.0
2024-03-31,121.0,$-661.22,0.0
2023-12-31,543.0,$-728.04,0.0
2023-09-30,640.0,$-902.96,0.0
2023-06-30,989.0,$-959.94,0.0
2023-03-31,1461.6,$-390.47,0.0
2022-12-31,1280.0,$-716.99,0.0
