Select Medical Holdings Price to Free Cash Flow Ratio Historical Data,Select Medical Holdings Price to Free Cash Flow Ratio Historical Data,Select Medical Holdings Price to Free Cash Flow Ratio Historical Data,Select Medical Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.83,,6.99
2024-12-31,18.85,$2.41,7.83
2024-09-30,18.72,$2.88,6.5
2024-06-30,18.75,$2.35,7.97
2024-03-31,16.07,$1.97,8.17
2023-12-31,12.47,$2.87,4.35
2023-09-30,13.33,$1.56,8.57
2023-06-30,16.74,$1.47,11.37
2023-03-31,13.52,$1.08,12.54
2022-12-31,12.92,$0.82,15.67
2022-09-30,11.45,$0.51,22.29
2022-06-30,12.18,$0.46,26.36
2022-03-31,12.31,$0.16,76.58
2021-12-31,15.0,$2.01,7.46
2021-09-30,18.39,$3.95,4.65
2021-06-30,21.41,$4.95,4.32
2021-03-31,17.22,$8.85,1.95
2020-12-31,13.97,$7.44,1.88
2020-09-30,10.51,$7.26,1.45
2020-06-30,7.44,$6.63,1.12
2020-03-31,7.57,$2.44,3.1
2019-12-31,11.78,$2.21,5.33
2019-09-30,8.37,$1.62,5.17
2019-06-30,8.01,$1.80,4.44
2019-03-31,7.11,$2.37,3.0
2018-12-31,7.75,$2.56,3.03
2018-09-30,9.29,$3.04,3.05
2018-06-30,9.16,$1.99,4.61
2018-03-31,8.71,$1.57,5.53
2017-12-31,8.91,$0.66,13.5
2017-09-30,9.69,$0.47,20.82
2017-06-30,7.75,$1.07,7.23
2017-03-31,6.74,$0.74,9.09
2016-12-31,6.69,$2.07,3.23
2016-09-30,6.82,$0.77,8.84
2016-06-30,5.49,$0.92,5.96
2016-03-31,5.96,$0.63,9.45
2015-12-31,6.01,$0.20,29.81
2015-09-30,5.45,$0.66,8.23
2015-06-30,8.18,$0.70,11.76
2015-03-31,7.49,$0.98,7.67
2014-12-31,7.22,$0.58,12.39
2014-09-30,5.99,$1.00,6.01
2014-06-30,7.71,$0.87,8.89
2014-03-31,6.11,$0.76,8.05
2013-12-31,5.64,$0.89,6.35
2013-09-30,3.88,$1.09,3.55
2013-06-30,3.89,$0.96,4.06
2013-03-31,4.22,$1.50,2.82
2012-12-31,4.42,$1.78,2.49
2012-09-30,4.57,$1.60,2.86
2012-06-30,4.12,$1.52,2.71
2012-03-31,3.13,$1.39,2.24
2011-12-31,3.45,$1.19,2.91
2011-09-30,2.72,$0.93,2.93
2011-06-30,3.61,$0.83,4.37
2011-03-31,3.28,$0.65,5.05
2010-12-31,2.98,$0.59,5.08
2010-09-30,3.13,$0.76,4.14
2010-06-30,2.76,$1.47,1.88
