SK Telecom Price to Free Cash Flow Ratio Historical Data,SK Telecom Price to Free Cash Flow Ratio Historical Data,SK Telecom Price to Free Cash Flow Ratio Historical Data,SK Telecom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.29,,4.52
2024-09-30,23.77,$4.71,5.04
2024-06-30,20.65,$4.39,4.7
2024-03-31,20.93,$4.69,4.46
2023-12-31,20.46,$4.07,5.03
2023-09-30,20.12,$4.49,4.48
2023-06-30,18.0,$3.10,5.81
2023-03-31,18.58,$3.41,5.45
2022-12-31,18.34,$4.02,4.56
2022-09-30,16.88,$3.98,4.25
2022-06-30,19.21,$3.98,4.82
2022-03-31,21.72,$4.07,5.33
2021-12-31,22.29,$3.27,6.81
2021-09-30,41.42,$3.26,12.69
2021-06-30,42.88,$4.63,9.26
2021-03-31,36.89,$5.22,7.07
2020-12-31,33.17,$4.76,6.97
2020-09-30,29.3,$4.37,6.7
2020-06-30,25.25,$3.64,6.94
2020-03-31,21.16,$2.83,7.47
2019-09-30,27.89,$2.38,11.71
2019-03-31,30.65,$3.57,8.59
2018-12-31,33.54,$3.77,8.9
2018-09-30,33.79,$2.25,15.04
2018-06-30,28.27,$3.67,7.69
2018-03-31,29.17,$2.57,11.37
2017-12-31,33.69,$2.72,12.37
2017-09-30,28.71,$3.68,7.81
2017-06-30,29.97,$3.12,9.6
2017-03-31,29.29,$4.47,6.56
2016-12-31,24.31,$4.14,5.87
2016-09-30,25.23,$3.99,6.33
2016-06-30,23.35,$5.12,4.56
2016-03-31,22.4,$4.08,5.48
2015-12-31,22.38,$3.15,7.11
2015-09-30,26.0,$12.16,2.14
2015-06-30,26.42,$6.27,4.21
2015-03-31,28.89,$9.73,2.97
2014-12-31,28.68,$9.39,3.05
2014-09-30,32.21,$-0.20,0.0
2014-06-30,27.54,$4.80,5.74
2014-03-31,23.96,$0.66,36.14
2013-12-31,26.14,$1.65,15.86
2013-09-30,23.45,$-1.00,0.0
2013-06-30,21.0,$-0.98,0.0
2013-03-31,18.36,$-1.23,0.0
2012-12-31,16.27,0,0.0
2012-09-30,14.19,$-3.50,0.0
2012-06-30,11.81,$-2.97,0.0
2012-03-31,13.51,$-1.26,0.0
2011-12-31,13.22,0,0.0
2011-09-30,13.06,$5.72,2.28
2011-06-30,17.36,$4.64,3.74
2011-03-31,17.39,$2.87,6.06
2010-12-31,17.22,$1.81,9.53
2010-06-30,13.15,$1.81,7.28
2010-03-31,15.34,$1.81,8.49
2009-12-31,14.45,$1.81,8.0
