Silgan Holdings Price to Free Cash Flow Ratio Historical Data,Silgan Holdings Price to Free Cash Flow Ratio Historical Data,Silgan Holdings Price to Free Cash Flow Ratio Historical Data,Silgan Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,50.35,,11.75
2024-12-31,52.05,$4.29,12.14
2024-09-30,52.33,$5.63,9.3
2024-06-30,42.03,$4.61,9.12
2024-03-31,48.22,$2.83,17.02
2023-12-31,44.74,$2.34,19.11
2023-09-30,42.44,$0.25,171.01
2023-06-30,45.98,$0.61,75.88
2023-03-31,52.42,$1.50,34.92
2022-12-31,50.46,$4.80,10.52
2022-09-30,40.79,$2.00,20.39
2022-06-30,39.98,$1.69,23.69
2022-03-31,44.54,$2.07,21.47
2021-12-31,41.13,$2.92,14.09
2021-09-30,36.7,$2.21,16.63
2021-06-30,39.58,$1.93,20.52
2021-03-31,39.95,$3.32,12.03
2020-12-31,35.13,$3.40,10.34
2020-09-30,34.71,$3.58,9.7
2020-06-30,30.48,$3.15,9.68
2020-03-31,27.21,$2.33,11.66
2019-12-31,29.01,$2.48,11.7
2019-09-30,27.94,$2.40,11.65
2019-06-30,28.36,$2.28,12.45
2019-03-31,27.36,$2.13,12.87
2018-12-31,21.72,$2.83,7.69
2018-09-30,25.47,$2.00,12.74
2018-06-30,24.49,$2.26,10.84
2018-03-31,25.33,$2.30,11.0
2017-12-31,26.64,$1.93,13.78
2017-09-30,26.59,$1.87,14.23
2017-06-30,28.63,$1.96,14.61
2017-03-31,26.66,$1.81,14.7
2016-12-31,22.92,$1.68,13.63
2016-09-30,22.58,$1.10,20.51
2016-06-30,22.89,$0.48,47.99
2016-03-31,23.57,$0.58,40.65
2015-12-31,23.73,$0.80,29.55
2015-09-30,22.92,$1.14,20.04
2015-06-30,23.17,$1.45,16.02
2015-03-31,25.45,$1.12,22.7
2014-12-31,23.4,$1.63,14.36
2014-09-30,20.46,$1.38,14.83
2014-06-30,22.06,$1.83,12.08
2014-03-31,21.43,$1.60,13.38
2013-12-31,20.71,$1.91,10.82
2013-09-30,20.21,$1.70,11.92
2013-06-30,20.14,$1.83,11.03
2013-03-31,20.21,$1.90,10.65
2012-12-31,17.71,$1.66,10.65
2012-09-30,18.49,$1.01,18.32
2012-06-30,18.09,$0.48,38.08
2012-03-31,18.68,$1.04,17.92
2011-12-31,16.29,$1.33,12.29
2011-09-30,15.44,$0.87,17.75
2011-06-30,17.17,$0.99,17.28
2011-03-31,15.94,$1.04,15.36
2010-12-31,14.92,$0.54,27.87
2010-09-30,13.17,$1.13,11.69
2010-06-30,11.75,$0.81,14.59
2010-03-31,12.42,$0.68,18.15
2009-12-31,11.89,$1.45,8.2
