Sumitomo Mitsui Financial Group Inc Price to Free Cash Flow Ratio Historical Data,Sumitomo Mitsui Financial Group Inc Price to Free Cash Flow Ratio Historical Data,Sumitomo Mitsui Financial Group Inc Price to Free Cash Flow Ratio Historical Data,Sumitomo Mitsui Financial Group Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.26,,inf
2024-06-30,13.16,0,0.0
2023-06-30,8.17,0,0.0
2022-06-30,5.33,0,0.0
2021-06-30,5.98,0,0.0
2020-06-30,4.63,0,0.0
2019-06-30,5.48,0,0.0
2018-06-30,5.78,0,0.0
2017-06-30,5.63,$9.87,0.57
2016-06-30,3.95,$7.75,0.51
2015-06-30,5.9,$9.87,0.6
2015-03-31,5.14,$9.87,0.52
2014-12-31,4.83,$9.76,0.49
2014-09-30,5.44,$11.89,0.46
2014-06-30,5.62,$9.76,0.58
2014-03-31,5.74,$9.76,0.59
2013-12-31,6.96,$3.20,2.18
2013-09-30,6.46,$3.20,2.02
2013-06-30,6.0,$3.20,1.88
2013-03-31,5.31,$3.20,1.66
2012-12-31,4.69,$2.29,2.05
2012-09-30,3.95,$2.29,1.73
2012-06-30,4.17,$2.29,1.82
2012-03-31,4.17,$2.29,1.82
2011-12-31,3.39,$24.12,0.14
2011-09-30,3.37,$24.12,0.14
2011-06-30,3.63,$24.12,0.15
2011-03-31,3.69,$24.12,0.15
2010-12-31,4.12,0,0.0
2010-09-30,3.31,0,0.0
2010-06-30,3.23,0,0.0
2010-03-31,3.75,0,0.0
2009-12-31,3.28,0,0.0
