Stryve Foods Price to Free Cash Flow Ratio Historical Data,Stryve Foods Price to Free Cash Flow Ratio Historical Data,Stryve Foods Price to Free Cash Flow Ratio Historical Data,Stryve Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-02-28,0.48,,0.0
2024-09-30,1.46,$-2.04,0.0
2024-06-30,1.75,$-2.03,0.0
2024-03-31,1.46,$-2.39,0.0
2023-12-31,2.6,$-3.39,0.0
2023-09-30,3.12,$-5.22,0.0
2023-06-30,0.61,$-7.42,0.0
2023-03-31,0.49,$-9.58,0.0
2022-12-31,0.73,$-15.76,0.0
2022-09-30,0.53,$-30.17,0.0
2022-06-30,0.88,$-27.82,0.0
2022-03-31,1.25,$-35.08,0.0
2021-12-31,3.95,$-40.07,0.0
2021-09-30,5.35,$-31.51,0.0
2021-06-30,10.31,$-52.63,0.0
2021-03-31,10.27,$-42.37,0.0
2020-12-31,10.66,$-30.73,0.0
2020-09-30,10.24,$-22.81,0.0
2020-06-30,10.26,$-1.62,0.0
2020-03-31,10.07,$-1.49,0.0
2019-12-31,10.15,$-1.74,0.0
