Synaptogenix Price to Free Cash Flow Ratio Historical Data,Synaptogenix Price to Free Cash Flow Ratio Historical Data,Synaptogenix Price to Free Cash Flow Ratio Historical Data,Synaptogenix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.63,,0.0
2024-09-30,3.02,$-4.32,0.0
2024-06-30,4.1,$-3.37,0.0
2024-03-31,0.19,$-7.21,0.0
2023-12-31,0.27,$-11.11,0.0
2023-09-30,0.44,$-19.56,0.0
2023-06-30,0.93,$-28.49,0.0
2023-03-31,0.8,$-33.23,0.0
2022-12-31,1.16,$-40.13,0.0
2022-09-30,6.7,$-46.72,0.0
2022-06-30,5.19,$-29.87,0.0
2022-03-31,7.74,$-56.00,0.0
