Synchrony Financial Price to Free Cash Flow Ratio Historical Data,Synchrony Financial Price to Free Cash Flow Ratio Historical Data,Synchrony Financial Price to Free Cash Flow Ratio Historical Data,Synchrony Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,53.87,,2.19
2024-12-31,65.0,$24.58,2.64
2024-09-30,49.65,$24.19,2.05
2024-06-30,46.71,$23.10,2.02
2024-03-31,42.45,$21.48,1.98
2023-12-31,37.36,$20.29,1.84
2023-09-30,29.64,$18.55,1.6
2023-06-30,32.65,$16.30,2.0
2023-03-31,27.77,$15.47,1.79
2022-12-31,31.19,$13.85,2.25
2022-09-30,26.58,$13.76,1.93
2022-06-30,25.87,$13.32,1.94
2022-03-31,32.41,$12.03,2.69
2021-12-31,42.98,$12.47,3.45
2021-09-30,45.07,$12.45,3.62
2021-06-30,44.53,$11.61,3.84
2021-03-31,37.13,$13.27,2.8
2020-12-31,31.51,$12.67,2.49
2020-09-30,23.55,$12.53,1.88
2020-06-30,19.74,$13.85,1.43
2020-03-31,14.17,$12.65,1.12
2019-12-31,31.5,$13.35,2.36
2019-09-30,29.64,$13.41,2.21
2019-06-30,29.95,$13.32,2.25
2019-03-31,27.56,$13.25,2.08
2018-12-31,20.13,$12.51,1.61
2018-09-30,26.45,$12.16,2.18
2018-06-30,28.21,$12.14,2.32
2018-03-31,28.21,$11.40,2.48
2017-12-31,32.36,$10.72,3.02
2017-09-30,25.9,$9.79,2.65
2017-06-30,24.75,$8.24,3.0
2017-03-31,28.34,$7.85,3.61
2016-12-31,29.86,$7.83,3.81
2016-09-30,22.95,$8.03,2.86
2016-06-30,20.62,$7.39,2.79
2016-03-31,23.38,$7.20,3.25
2015-12-31,24.81,$7.40,3.35
2015-09-30,25.53,$6.70,3.81
2015-06-30,26.86,$10.62,2.53
