TIM S.A Price to Free Cash Flow Ratio Historical Data,TIM S.A Price to Free Cash Flow Ratio Historical Data,TIM S.A Price to Free Cash Flow Ratio Historical Data,TIM S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.97,,4.84
2024-09-30,17.22,$3.09,5.57
2024-06-30,14.32,$3.31,4.33
2024-03-31,17.75,$3.12,5.68
2023-12-31,18.47,$3.28,5.64
2023-09-30,14.9,$2.85,5.23
2023-06-30,15.29,$2.63,5.81
2023-03-31,12.36,$2.24,5.53
2022-12-31,11.65,$1.88,6.2
2022-09-30,11.18,$1.20,9.33
2022-06-30,12.15,$1.11,10.98
2022-03-31,14.34,$1.52,9.46
2021-12-31,11.51,$1.84,6.27
2021-09-30,10.45,$1.24,8.42
2021-06-30,11.21,$2.21,5.07
2021-03-31,10.94,$2.35,4.66
2020-12-31,13.42,$1.92,7.01
2020-09-30,10.84,$3.38,3.21
2020-06-30,12.17,$2.27,5.35
2020-03-31,11.44,$1.68,6.81
2019-12-31,17.86,$1.68,10.63
2019-09-30,13.42,$1.39,9.62
2019-06-30,13.99,$1.22,11.43
2019-03-31,14.1,$1.07,13.12
2018-12-31,14.34,$1.30,11.05
2018-09-30,13.55,$1.46,9.27
2018-06-30,15.64,$1.53,10.25
2018-03-31,20.04,$1.83,10.94
2017-12-31,17.86,$0.89,20.12
2017-09-30,16.79,$0.43,38.62
2017-06-30,13.6,$0.37,37.0
2017-03-31,14.68,$0.26,57.53
2016-12-31,10.84,$0.37,29.35
2016-09-30,11.24,$0.38,29.32
2016-06-30,9.69,$-0.12,0.0
2016-03-31,10.16,$1.67,6.09
2015-12-31,7.79,$1.28,6.09
2015-09-30,8.68,$0.46,18.95
2015-06-30,15.03,$1.28,11.7
2015-03-31,15.23,$-0.10,0.0
2014-12-31,20.4,$-0.34,0.0
2014-09-30,24.07,$1.95,12.32
2014-06-30,26.67,$2.45,10.89
2014-03-31,23.52,$1.94,12.1
2013-12-31,23.77,$1.65,14.41
2013-09-30,21.35,$1.46,14.59
2013-06-30,16.85,$0.96,17.55
2013-03-31,19.46,$1.37,14.22
2012-12-31,17.63,$1.40,12.57
2012-09-30,17.09,$0.68,25.04
2012-06-30,24.42,$0.80,30.47
2012-03-31,28.47,$0.67,42.3
2011-12-31,22.77,$1.41,16.13
2011-09-30,20.79,$1.78,11.7
2011-06-30,43.43,$1.59,27.38
2011-03-31,37.5,$0.56,67.01
2010-12-31,29.33,$1.57,18.63
2010-09-30,28.34,$-1.23,0.0
2010-06-30,23.32,$-1.07,0.0
2010-03-31,23.46,$0.24,95.97
2009-12-31,25.11,0,0.0
