Treace Medical Concepts Price to Free Cash Flow Ratio Historical Data,Treace Medical Concepts Price to Free Cash Flow Ratio Historical Data,Treace Medical Concepts Price to Free Cash Flow Ratio Historical Data,Treace Medical Concepts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.22,,0.0
2024-12-31,7.44,$-0.79,0.0
2024-09-30,5.8,$-0.70,0.0
2024-06-30,6.65,$-0.68,0.0
2024-03-31,13.05,$-0.62,0.0
2023-12-31,12.75,$-0.76,0.0
2023-09-30,13.11,$-0.86,0.0
2023-06-30,25.58,$-0.89,0.0
2023-03-31,25.19,$-0.98,0.0
2022-12-31,22.99,$-0.82,0.0
2022-09-30,22.07,$-0.80,0.0
2022-06-30,14.34,$-0.75,0.0
2022-03-31,18.91,$-0.57,0.0
