Tootsie Roll Industries Price to Free Cash Flow Ratio Historical Data,Tootsie Roll Industries Price to Free Cash Flow Ratio Historical Data,Tootsie Roll Industries Price to Free Cash Flow Ratio Historical Data,Tootsie Roll Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.46,,19.12
2024-12-31,32.33,$1.65,19.65
2024-09-30,30.88,$1.41,21.94
2024-06-30,30.48,$1.13,26.88
2024-03-31,31.83,$1.31,24.23
2023-12-31,31.98,$0.92,34.93
2023-09-30,28.57,$0.75,38.22
2023-06-30,33.88,$0.56,60.29
2023-03-31,42.87,$0.34,127.62
2022-12-31,40.55,$0.65,62.56
2022-09-30,31.55,$0.76,41.41
2022-06-30,33.51,$0.60,55.52
2022-03-31,33.05,$0.70,47.0
2021-12-31,34.16,$0.71,48.09
2021-09-30,28.54,$0.69,41.12
2021-06-30,31.81,$0.66,48.31
2021-03-31,30.99,$0.75,41.42
2020-12-31,27.7,$0.74,37.6
2020-09-30,28.65,$0.91,31.63
2020-06-30,31.78,$1.07,29.76
2020-03-31,33.26,$1.09,30.54
2019-12-31,31.49,$1.02,30.75
2019-09-30,34.08,$0.91,37.66
2019-06-30,33.89,$1.01,33.57
2019-03-31,34.09,$0.98,34.82
2018-12-31,30.5,$0.93,32.83
2018-09-30,26.56,$0.55,48.2
2018-06-30,28.01,$0.25,111.91
2018-03-31,26.66,$0.27,100.07
2017-12-31,31.9,$0.33,96.99
2017-09-30,33.22,$0.68,48.71
2017-06-30,30.4,$0.89,34.15
2017-03-31,32.5,$1.02,31.78
2016-12-31,33.5,$1.02,32.95
2016-09-30,30.89,$1.12,27.62
2016-06-30,32.32,$0.87,37.35
2016-03-31,29.23,$0.94,31.05
2015-12-31,25.59,$0.92,27.94
2015-09-30,25.2,$1.12,22.52
2015-06-30,26.03,$1.04,25.05
2015-03-31,27.25,$0.98,27.76
2014-12-31,23.84,$0.93,25.57
2014-09-30,21.65,$0.73,29.47
2014-06-30,22.78,$0.82,27.64
2014-03-31,23.1,$0.75,30.87
2013-12-31,24.31,$1.11,21.95
2013-09-30,22.9,$1.28,17.93
2013-06-30,23.62,$1.17,20.22
2013-03-31,22.17,$1.23,18.03
2012-12-31,19.16,$1.07,17.84
2012-09-30,19.6,$0.92,21.29
2012-06-30,17.28,$0.88,19.72
2012-03-31,16.53,$0.59,27.81
2011-12-31,17.02,$0.39,43.73
2011-09-30,17.29,$0.49,35.01
2011-06-30,20.92,$0.68,30.98
2011-03-31,20.23,$0.82,24.63
2010-12-31,19.94,$0.79,25.27
2010-09-30,17.09,$0.66,25.77
2010-06-30,16.2,$0.71,22.95
2010-03-31,18.46,$0.63,29.25
2009-12-31,18.65,$0.62,29.85
