United Bancorp Price to Free Cash Flow Ratio Historical Data,United Bancorp Price to Free Cash Flow Ratio Historical Data,United Bancorp Price to Free Cash Flow Ratio Historical Data,United Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.62,,0.0
2024-12-31,13.0,$-0.23,0.0
2024-09-30,12.97,$-0.03,0.0
2024-06-30,12.21,$0.73,16.66
2024-03-31,13.87,$1.47,9.45
2023-12-31,11.99,$1.53,7.84
2023-09-30,10.62,$1.58,6.7
2023-06-30,10.85,$1.65,6.59
2023-03-31,12.96,$0.70,18.52
2022-12-31,12.88,$1.47,8.74
2022-09-30,13.92,$1.27,10.96
2022-06-30,14.05,$1.23,11.39
2022-03-31,15.46,$2.12,7.28
2021-12-31,13.9,$1.47,9.48
2021-09-30,11.82,$1.59,7.45
2021-06-30,11.67,$1.71,6.83
2021-03-31,11.61,$1.31,8.87
2020-12-31,10.52,$1.26,8.35
2020-09-30,9.92,$1.20,8.23
2020-06-30,8.99,$0.81,11.14
2020-03-31,8.51,$1.40,6.1
2019-12-31,10.92,$1.32,8.26
2019-09-30,8.42,$1.26,6.66
2019-06-30,8.41,$1.40,6.02
2019-03-31,8.0,$1.01,7.91
2018-12-31,8.33,$1.00,8.3
2018-09-30,9.44,$1.02,9.25
2018-06-30,9.6,$0.87,10.98
2018-03-31,9.12,$0.87,10.42
2017-12-31,9.23,$0.76,12.16
2017-09-30,8.25,$0.61,13.51
2017-06-30,8.3,$0.54,15.37
2017-03-31,8.29,$0.43,19.23
2016-12-31,9.02,$0.38,23.57
2016-09-30,7.19,$0.27,26.2
2016-06-30,6.39,$0.39,16.24
2016-03-31,5.87,$0.59,10.03
2015-12-31,6.14,$0.60,10.21
2015-09-30,5.71,$0.84,6.8
2015-06-30,5.59,$0.80,6.96
2015-03-31,4.87,$0.74,6.58
2014-12-31,4.92,$0.79,6.26
2014-09-30,4.86,$1.22,3.98
2014-06-30,4.86,$1.23,3.96
2014-03-31,5.03,$1.32,3.82
2013-12-31,4.7,$1.20,3.92
2013-09-30,3.87,$0.85,4.52
2013-06-30,4.16,$0.79,5.3
2013-03-31,4.15,$0.66,6.28
2012-12-31,3.52,$0.84,4.19
2012-09-30,3.95,$0.87,4.53
2012-06-30,4.96,$1.00,4.98
2012-03-31,5.35,$1.13,4.72
2011-12-31,4.52,$0.99,4.57
2011-09-30,4.53,$1.01,4.51
2011-06-30,4.57,$0.88,5.19
2011-03-31,4.28,$0.96,4.46
2010-12-31,4.37,$1.11,3.94
2010-09-30,3.95,$0.41,9.73
2010-06-30,4.08,$0.60,6.77
2010-03-31,4.1,$0.46,8.99
2009-12-31,4.0,$0.21,18.86
