Union Pacific Price to Free Cash Flow Ratio Historical Data,Union Pacific Price to Free Cash Flow Ratio Historical Data,Union Pacific Price to Free Cash Flow Ratio Historical Data,Union Pacific Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,234.79,,24.24
2024-12-31,228.04,$9.68,23.55
2024-09-30,245.07,$9.07,27.02
2024-06-30,223.8,$7.95,28.14
2024-03-31,243.25,$8.25,29.5
2023-12-31,241.71,$7.82,30.9
2023-09-30,199.27,$7.73,25.77
2023-06-30,199.08,$8.68,22.94
2023-03-31,194.51,$8.71,22.34
2022-12-31,198.9,$9.20,21.62
2022-09-30,185.99,$9.16,20.31
2022-06-30,202.44,$8.77,23.07
2022-03-31,257.82,$9.39,27.45
2021-12-31,236.6,$9.30,25.44
2021-09-30,183.19,$10.04,18.25
2021-06-30,204.55,$8.96,22.84
2021-03-31,204.02,$8.66,23.56
2020-12-31,191.85,$8.48,22.61
2020-09-30,180.54,$7.59,23.79
2020-06-30,154.28,$8.33,18.52
2020-03-31,127.97,$7.71,16.61
2019-12-31,163.05,$7.41,22.01
2019-09-30,145.29,$7.12,20.4
2019-06-30,150.78,$7.18,21.0
2019-03-31,148.31,$7.45,19.91
2018-12-31,121.98,$7.04,17.32
2018-09-30,143.68,$6.78,21.18
2018-06-30,124.36,$5.99,20.75
2018-03-31,117.41,$5.12,22.91
2017-12-31,116.48,$5.19,22.45
2017-09-30,100.19,$5.17,19.37
2017-06-30,93.55,$5.07,18.46
2017-03-31,90.49,$4.55,19.9
2016-12-31,88.08,$4.97,17.74
2016-09-30,82.36,$4.09,20.15
2016-06-30,73.26,$3.71,19.77
2016-03-31,66.35,$4.02,16.52
2015-12-31,64.78,$3.39,19.12
2015-09-30,72.76,$3.96,18.36
2015-06-30,77.99,$4.19,18.6
2015-03-31,88.1,$3.67,24.04
2014-12-31,96.47,$3.53,27.36
2014-09-30,87.42,$3.70,23.62
2014-06-30,80.05,$3.36,23.83
2014-03-31,74.96,$3.86,19.43
2013-12-31,66.77,$3.68,18.16
2013-09-30,61.44,$3.65,16.84
2013-06-30,60.7,$3.23,18.82
2013-03-31,55.79,$2.80,19.95
2012-12-31,49.0,$2.63,18.65
2012-09-30,46.0,$2.04,22.54
2012-06-30,46.01,$2.54,18.14
2012-03-31,41.23,$2.74,15.06
2011-12-31,40.43,$2.78,14.56
2011-09-30,30.98,$2.73,11.35
2011-06-30,39.39,$2.30,17.15
2011-03-31,36.93,$2.15,17.16
2010-12-31,34.66,$1.68,20.63
2010-09-30,30.47,$1.57,19.39
2010-06-30,25.78,$1.22,21.07
2010-03-31,27.05,$1.03,26.15
2009-12-31,23.49,$0.93,25.36
