V.F Price to Free Cash Flow Ratio Historical Data,V.F Price to Free Cash Flow Ratio Historical Data,V.F Price to Free Cash Flow Ratio Historical Data,V.F Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.25,,11.38
2024-12-31,21.46,$1.43,15.03
2024-09-30,19.86,$1.95,10.17
2024-06-30,13.37,$2.14,6.24
2024-03-31,15.09,$2.31,6.55
2023-12-31,18.39,$3.18,5.79
2023-09-30,17.2,$0.44,39.15
2023-06-30,18.29,$-0.53,0.0
2023-03-31,21.62,$-1.86,0.0
2022-12-31,25.72,$-2.31,0.0
2022-09-30,27.36,$-0.13,0.0
2022-06-30,39.95,$0.63,63.36
2022-03-31,50.9,$1.66,30.66
2021-12-31,64.94,$1.84,35.31
2021-09-30,59.02,$2.15,27.49
2021-06-30,71.8,$3.03,23.72
2021-03-31,69.51,$2.87,24.2
2020-12-31,73.83,$2.33,31.68
2020-09-30,60.39,$2.56,23.59
2020-06-30,52.02,$1.56,33.38
2020-03-31,45.82,$1.47,31.25
2019-12-31,83.79,$2.13,39.37
2019-09-30,74.43,$2.51,29.61
2019-06-30,72.71,$2.80,25.95
2019-03-31,71.91,$3.62,19.88
2018-12-31,58.67,$3.14,18.67
2018-09-30,76.35,$-0.40,0.0
2018-06-30,66.26,$-0.40,0.0
2018-03-31,59.91,$-0.00,0.0
2017-12-31,59.44,$-0.60,0.0
2017-09-30,50.74,$-0.07,0.0
2017-06-30,45.67,$0.49,92.63
2017-03-31,43.25,$-0.60,0.0
2016-12-31,41.64,$-0.42,0.0
2016-09-30,43.43,$0.46,93.96
2016-06-30,47.36,$0.30,159.02
2016-03-31,49.58,$-0.42,0.0
2015-12-31,47.39,$-1.00,0.0
2015-09-30,51.63,$-2.53,0.0
2015-06-30,52.56,$-2.16,0.0
2015-03-31,56.5,$-1.00,0.0
2014-12-31,55.95,$-0.08,0.0
2014-09-30,49.11,$-0.12,0.0
2014-06-30,46.67,$-0.10,0.0
2014-03-31,45.65,$-0.08,0.0
2013-12-31,45.79,$-0.20,0.0
2013-09-30,36.39,$0.48,76.44
2013-06-30,35.13,$0.21,170.71
2013-03-31,30.38,$-0.20,0.0
2012-12-31,27.2,$-0.30,0.0
2012-09-30,28.55,$-0.22,0.0
2012-06-30,23.8,$-0.17,0.0
2012-03-31,25.9,$-0.30,0.0
2011-12-31,22.42,$-0.15,0.0
2011-09-30,21.34,$-1.29,0.0
2011-06-30,18.96,$-0.99,0.0
2011-03-31,17.09,$-0.15,0.0
2010-12-31,14.85,$0.37,39.76
2010-09-30,13.86,$0.77,17.94
2010-06-30,12.08,$0.86,14.03
2010-03-31,13.5,$0.37,36.12
2009-12-31,12.24,$-0.12,0.0
