Virtu Financial Price to Free Cash Flow Ratio Historical Data,Virtu Financial Price to Free Cash Flow Ratio Historical Data,Virtu Financial Price to Free Cash Flow Ratio Historical Data,Virtu Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.72,,6.08
2024-12-31,35.68,$6.20,5.75
2024-09-30,30.27,$5.31,5.69
2024-06-30,22.13,$5.88,3.76
2024-03-31,20.01,$1.55,12.91
2023-12-31,19.5,$4.42,4.41
2023-09-30,16.4,$4.74,3.46
2023-06-30,16.03,$5.20,3.08
2023-03-31,17.49,$6.88,2.54
2022-12-31,18.64,$6.15,3.03
2022-09-30,18.76,$8.92,2.1
2022-06-30,20.93,$6.92,3.02
2022-03-31,32.98,$5.89,5.6
2021-12-31,25.37,$9.39,2.7
2021-09-30,21.32,$7.48,2.85
2021-06-30,23.87,$6.98,3.42
2021-03-31,26.62,$11.06,2.41
2020-12-31,21.39,$8.18,2.62
2020-09-30,19.35,$7.79,2.48
2020-06-30,19.66,$8.37,2.35
2020-03-31,17.17,$1.05,16.37
2019-12-31,13.02,$0.97,13.37
2019-09-30,13.14,$0.64,20.48
2019-06-30,17.27,$0.16,105.16
2019-03-31,18.63,$3.31,5.63
2018-12-31,20.02,$6.53,3.07
2018-09-30,15.89,$4.25,3.74
2018-06-30,20.41,$5.14,3.97
2018-03-31,25.18,$4.63,5.44
2017-12-31,13.85,$4.11,3.37
2017-09-30,12.08,$3.65,3.31
2017-06-30,12.99,$5.48,2.37
2017-03-31,12.33,$5.09,2.42
2016-12-31,11.41,$5.69,2.0
2016-09-30,10.53,$4.79,2.2
2016-06-30,12.48,$3.87,3.22
2016-03-31,15.12,$7.93,1.91
